week,start_reference_equity,ending_equity,dollar_change,return_pct_from_prior_week_end,contribution_pct_initial,trade_count
2026-W35,1000.0,1000.0,0.0,0.0,0.0,0
2026-W36,1000.0,989.6949999999999,-10.305000000000064,-1.0305000000000009,-1.0305000000000064,3
2026-W37,989.6949999999999,975.25,-14.444999999999936,-1.4595405655277616,-1.4444999999999937,3
2026-W38,975.25,975.25,0.0,0.0,0.0,0
