split,model,parameter_count,mse,mae,directional_accuracy,information_coefficient
validation_2018,ANN,369,1.2862497235259,0.7672004907460377,0.5026666666666667,0.019030965355003385
validation_2018,QINN-MPS,369,1.2810438681275351,0.7669741006987882,0.5037333333333334,-0.017979559681628267
test_2019_2023,ANN,369,1.5101247632433117,0.7994253095003222,0.5025477707006369,0.011945895505735016
test_2019_2023,QINN-MPS,369,1.5034341247342387,0.796723640449746,0.5105626326963907,-0.006019937982991346
