split,model,parameter_count,mse,mae,directional_accuracy,information_coefficient
validation_2018,ANN,369,1.2862497235259,0.7672004907460377,0.5026666666666667,0.019030965355003385
validation_2018,QINN-MPS,1441,1.2753067463841223,0.764873660874961,0.5138666666666667,0.07205458915034589
test_2019_2023,ANN,369,1.5101247632433117,0.7994253095003222,0.5025477707006369,0.011945895505735016
test_2019_2023,QINN-MPS,1441,1.5039282841324733,0.7970863964070021,0.5143312101910829,0.02893118313320262
