date,account_value,gross_traded_notional,daily_turnover,transaction_cost,daily_return,condition,seed
2021-01-04,1000000.0,0.0,0.0,0.0,0.0,Base FinRL,0
2021-01-05,1000009.6452034875,4435.286624908447,0.004435286624908447,4.435286624908447,9.645203487451681e-06,Base FinRL,0
2021-01-06,1000083.6398310395,4985.200328826904,0.004985152246019075,4.985200328826904,7.399391386564425e-05,Base FinRL,0
2021-01-07,1000219.7707942276,4228.137153625488,0.00422778354252432,4.228137153625489,0.00013611957816950238,Base FinRL,0
2021-01-08,1000488.6157273217,5071.666179656983,0.005070551820456229,5.071666179656983,0.0002687858618117822,Base FinRL,0
2021-01-11,1000321.8110425302,5356.030616760254,0.0053534148540676785,5.356030616760254,-0.0001667232212034797,Base FinRL,0
2021-01-12,1000102.7785416452,5206.355712890625,0.005204680789139835,5.206355712890625,-0.0002189620364838607,Base FinRL,0
2021-01-13,1000307.1704408417,5467.842014312744,0.0054672800952377905,5.467842014312744,0.00020437089425406896,Base FinRL,0
2021-01-14,1000415.4869255562,6143.987392425537,0.006142100720639484,6.1439873924255375,0.00010828322330902473,Base FinRL,0
2021-01-15,1000853.3730326309,5837.045085906982,0.005834620877216922,5.837045085906983,0.00043770424668299057,Base FinRL,0
2021-01-19,1001528.1273599624,5625.273193359374,0.005620476830002124,5.625273193359374,0.0006741790011528526,Base FinRL,0
2021-01-20,1002912.8126868285,6046.728797912598,0.006037502724812963,6.046728797912598,0.0013825725798797261,Base FinRL,0
2021-01-21,1002929.8225942459,7499.324150085448,0.007477543466609596,7.499324150085449,1.6960504644281116e-05,Base FinRL,0
2021-01-22,1003261.5685669784,7525.832077026367,0.007503847136143127,7.525832077026367,0.00033077685522853173,Base FinRL,0
2021-01-25,1004539.732795719,8724.046405792236,0.008695684833471036,8.724046405792237,0.0012740089611589234,Base FinRL,0
2021-01-26,1005232.3507373121,8615.762020111084,0.008576825523996636,8.615762020111084,0.0006894878509837721,Base FinRL,0
2021-01-27,1003444.5631211965,8360.816341400146,0.008317297324611273,8.360816341400147,-0.0017784819746443636,Base FinRL,0
