split,model,parameter_count,mse,mae,directional_accuracy,information_coefficient
validation_2020,ANN,369,2.9498349631408525,1.088374717221086,0.5357142857142857,0.1528420930933687
validation_2020,QINN-MPS,97,2.94087792831129,1.085549930705797,0.5357142857142857,0.1373758811193163
test_2021_2022,ANN,369,1.5064796360473993,0.8374600860045166,0.5134526176275679,0.04801223893235278
test_2021_2022,QINN-MPS,97,1.5252376452044387,0.843495198855374,0.5096090125911199,0.021344072153979547
