model,epoch,train_huber,validation_huber
ANN,1,0.350827782542993,0.7250033617019653
ANN,2,0.3336788700404742,0.7173871994018555
ANN,3,0.3323614535813636,0.7170057892799377
ANN,4,0.3322438954038823,0.7179304361343384
ANN,5,0.332205838514558,0.7154658436775208
ANN,6,0.33202722880011754,0.7155202627182007
ANN,7,0.3319658787749338,0.7155249118804932
ANN,8,0.33196012496102784,0.7157773971557617
ANN,9,0.33211044157650454,0.7142967581748962
ANN,10,0.33199696397105005,0.7136681079864502
ANN,11,0.33187250799321116,0.7143181562423706
ANN,12,0.3317794031285225,0.715103030204773
ANN,13,0.33210429561899063,0.7144570350646973
ANN,14,0.33172947637578276,0.7146104574203491
ANN,15,0.331768865280963,0.7139487862586975
ANN,16,0.33183706905824917,0.713913083076477
ANN,17,0.3318831836500912,0.713492214679718
ANN,18,0.3318653937561292,0.7116614580154419
ANN,19,0.3314867399263044,0.7126927375793457
ANN,20,0.3322659392517509,0.7126887440681458
ANN,21,0.33163300866776324,0.7146995663642883
ANN,22,0.3315675083204364,0.7141443490982056
ANN,23,0.3316116263257696,0.7121604084968567
ANN,24,0.3313550994539937,0.7110335230827332
ANN,25,0.33144162960931767,0.7109956741333008
ANN,26,0.33131315598251126,0.711493194103241
ANN,27,0.33151751868691004,0.7120590209960938
ANN,28,0.33137553452599977,0.7093715667724609
ANN,29,0.3312254157472164,0.7099661231040955
ANN,30,0.33129553695519764,0.7125808596611023
ANN,31,0.3311240168327981,0.7118260860443115
ANN,32,0.33096087528458723,0.710756242275238
ANN,33,0.33103804892682015,0.7112253904342651
ANN,34,0.3316176618244631,0.7098299264907837
ANN,35,0.3311614855806878,0.7111354470252991
ANN,36,0.3309010787001738,0.7114017009735107
ANN,37,0.3308755451060356,0.7088501453399658
ANN,38,0.330648783546813,0.7096401453018188
ANN,39,0.3307116937130056,0.7105702757835388
ANN,40,0.3305971080952502,0.710321843624115
ANN,41,0.33058417020960057,0.7089040875434875
ANN,42,0.33080504984720377,0.7085369825363159
ANN,43,0.331564288105525,0.707589864730835
ANN,44,0.3304973020092815,0.7098857760429382
ANN,45,0.33064322082708913,0.7087477445602417
ANN,46,0.33091661443947057,0.7123124599456787
ANN,47,0.33037360794578036,0.7098852396011353
ANN,48,0.33051944189037835,0.7150461673736572
ANN,49,0.3303499399347508,0.7121040225028992
ANN,50,0.3301240441435618,0.7091840505599976
ANN,51,0.3300379515328306,0.7099432349205017
ANN,52,0.3297776497847645,0.7115010619163513
ANN,53,0.3304733952731951,0.712148129940033
QINN-MPS,1,0.33243046238067303,0.7145071029663086
QINN-MPS,2,0.3324224705391742,0.7145099639892578
QINN-MPS,3,0.33238376472013215,0.7143959403038025
QINN-MPS,4,0.3323294509387185,0.7140222191810608
QINN-MPS,5,0.33219081657998106,0.7130508422851562
QINN-MPS,6,0.33201602553644927,0.7127720713615417
QINN-MPS,7,0.3319132416594959,0.7118107676506042
QINN-MPS,8,0.3317861019930941,0.7114596366882324
QINN-MPS,9,0.3317535696300209,0.7107818722724915
QINN-MPS,10,0.33168934625936736,0.710999608039856
QINN-MPS,11,0.3316905141299498,0.7112098932266235
QINN-MPS,12,0.3316067062371166,0.7103670239448547
QINN-MPS,13,0.33171165082471593,0.7113156318664551
QINN-MPS,14,0.3316635957000949,0.711005449295044
QINN-MPS,15,0.33156258269404687,0.7103556394577026
QINN-MPS,16,0.3314819626985712,0.7101253271102905
QINN-MPS,17,0.3314756712169512,0.7098394632339478
QINN-MPS,18,0.3314528703478211,0.7100434303283691
QINN-MPS,19,0.33142317618038636,0.7094328999519348
QINN-MPS,20,0.3313977761260161,0.7091648578643799
QINN-MPS,21,0.33137121860017166,0.7089737057685852
QINN-MPS,22,0.33134803621904224,0.7084127068519592
QINN-MPS,23,0.3313220718650953,0.7088292241096497
QINN-MPS,24,0.33136185120183526,0.7088802456855774
QINN-MPS,25,0.33119757386809545,0.7075779438018799
QINN-MPS,26,0.3311362513413666,0.7071516513824463
QINN-MPS,27,0.3313274474220073,0.7063491344451904
QINN-MPS,28,0.3312258903861891,0.7075299024581909
QINN-MPS,29,0.3310870369275411,0.7062186002731323
QINN-MPS,30,0.3309728167369856,0.7054975628852844
QINN-MPS,31,0.3309877858834064,0.7060251235961914
QINN-MPS,32,0.33093259038654627,0.7054279446601868
QINN-MPS,33,0.3309811331701617,0.7052267789840698
QINN-MPS,34,0.33099557913786976,0.7071075439453125
QINN-MPS,35,0.3311815824914486,0.7075399160385132
QINN-MPS,36,0.33097462740773004,0.706194281578064
QINN-MPS,37,0.33089917792496104,0.705294132232666
QINN-MPS,38,0.33084697719161393,0.7055673003196716
QINN-MPS,39,0.3308581235560965,0.705105185508728
QINN-MPS,40,0.3308272003282047,0.705102801322937
QINN-MPS,41,0.3307797036272414,0.7043808102607727
QINN-MPS,42,0.33078735352407956,0.7042165994644165
QINN-MPS,43,0.3309130534635368,0.7035156488418579
QINN-MPS,44,0.3307858662191012,0.7036237716674805
QINN-MPS,45,0.3307215968767802,0.704526424407959
QINN-MPS,46,0.3307610455134236,0.7045777440071106
QINN-MPS,47,0.33072984960485013,0.7048298120498657
QINN-MPS,48,0.33071503030492905,0.7053331732749939
QINN-MPS,49,0.3312935032743089,0.7048094272613525
QINN-MPS,50,0.3307958312491153,0.7052537798881531
QINN-MPS,51,0.33070706839257097,0.7041763663291931
QINN-MPS,52,0.33078178590071117,0.705356776714325
QINN-MPS,53,0.3307619495594755,0.7044642567634583
