seed,mps_minus_ann_annual_return,mps_minus_ann_sharpe,mps_minus_ann_max_drawdown,mps_minus_ann_annualized_turnover,mps_minus_ann_total_cost
0,-0.011513986701045684,-0.04380158061320383,-0.022400222362726208,0.009056973741484398,36.68186563778181
1,-0.011197464547810287,-0.07777212016034107,-0.03354912009765337,-0.006177714789618094,-29.969520014047248
2,0.0027248213366110885,0.1381486126964553,0.1456264142558581,-0.09773621494174731,-674.5314062140051
3,-0.0160424443897019,-0.1011692503541427,-0.07928874482282311,-1.673450931671816e-05,-67.07397332382402
4,0.037363198900869005,0.11599042159451234,0.09543399201479391,-0.027591311897849413,-213.83380486654914
5,-0.04669195079261511,-0.21480617193928775,-0.04376211840762939,-0.004267282606802314,-10.696310045724886
6,-0.0395022846638676,-0.10898069224326368,0.0679993223298142,-0.000634941623965185,27.325180204393746
7,0.0740545900210674,0.18032615713767497,0.03348865918976851,-0.16580526564816112,-907.6959870591229
8,-0.03751156734865638,-0.1579962102312329,-0.0285374823479633,-0.00284724370423578,-19.85593274378789
9,-0.0436126188930934,-0.0960131604094645,0.07483198340240801,0.03197005885017409,171.3080103502257
