condition,n_seeds,annual_return_mean,annual_return_std,annual_return_median,sharpe_mean,sharpe_std,sharpe_median,max_drawdown_mean,max_drawdown_std,max_drawdown_median,annualized_turnover_mean,annualized_turnover_std,annualized_turnover_median,total_cost_mean,total_cost_std,total_cost_median
Base FinRL,10,0.1536293294079333,0.04030573840075849,0.15282599438179195,0.68939010827456,0.1686446224031826,0.7066198312400052,-0.4196074067599387,0.14775457669947553,-0.42262892531997,0.250802850379508,0.08249235246757411,0.21089064813307984,1329.5119856033803,507.80107844837624,1101.5625978362557
ANN signal,10,0.1795818223203814,0.0487923249500149,0.16348284386764456,0.8210048315496895,0.2117901388075432,0.8243892603364267,-0.340700549459378,0.1266509516977629,-0.27878657973227455,0.2750639222006176,0.08069059525207964,0.2329527575317185,1481.8813236556784,488.55042114897986,1233.2376642327313
QINN-MPS signal,10,0.17038885161255707,0.045540739080559715,0.1655901824926462,0.78439743209746,0.17369176883346824,0.7838334944165075,-0.31971628114399325,0.11173309441969637,-0.28263493433621456,0.2486589544876138,0.05890902985731785,0.22742864486742764,1313.0471358482123,330.70364173794354,1202.0661554808635
