model,epoch,train_huber,validation_huber
ANN,1,0.3198054559848646,0.4298039376735687
ANN,2,0.3087821971346729,0.4292953610420227
ANN,3,0.308363004446535,0.4296017289161682
ANN,4,0.3084265358307782,0.42924419045448303
ANN,5,0.30843101360839575,0.4294384717941284
ANN,6,0.3082871885576385,0.4302752614021301
ANN,7,0.30813298245302634,0.42871394753456116
ANN,8,0.3081921851502314,0.42985308170318604
ANN,9,0.308018701696876,0.4300529956817627
ANN,10,0.30804890128564255,0.4290650486946106
ANN,11,0.3079061534237975,0.4293923079967499
ANN,12,0.3079265566749047,0.4295087158679962
ANN,13,0.3078824214728092,0.4302363395690918
ANN,14,0.30781375530477423,0.4295189082622528
ANN,15,0.3078413447628719,0.4300912618637085
ANN,16,0.3078640715906591,0.4285205006599426
ANN,17,0.3076618479052485,0.4284015893936157
ANN,18,0.30765556652329873,0.4299161732196808
ANN,19,0.3075159273453345,0.4303758144378662
ANN,20,0.30744378737311673,0.42890307307243347
ANN,21,0.3073270533093714,0.4303765594959259
ANN,22,0.30745521714653234,0.43045079708099365
ANN,23,0.3073009098688003,0.4296022653579712
ANN,24,0.3073303055055696,0.4285740256309509
ANN,25,0.30736361820671254,0.4295847713947296
ANN,26,0.3070953725978819,0.4296993017196655
ANN,27,0.30709499977035504,0.429711252450943
QINN-MPS,1,0.30904598453718324,0.4279397130012512
QINN-MPS,2,0.3090426059203863,0.42792022228240967
QINN-MPS,3,0.30889241763631947,0.4281032383441925
QINN-MPS,4,0.3085316096719258,0.4281991124153137
QINN-MPS,5,0.30841835891057023,0.42819634079933167
QINN-MPS,6,0.30839491542458347,0.4289834201335907
QINN-MPS,7,0.3083454252552847,0.4285466969013214
QINN-MPS,8,0.3083124860639476,0.42887961864471436
QINN-MPS,9,0.30828917962126334,0.42892757058143616
QINN-MPS,10,0.3083070304479685,0.4289993643760681
QINN-MPS,11,0.3082963025595185,0.4290352463722229
QINN-MPS,12,0.3083274843140639,0.4285705089569092
