condition,metric,n_seeds,mean,standard_deviation,ci95_lower,ci95_upper,minimum,maximum
ANN signal,total_return,10,1.3139667795019065,0.5107853233957522,0.9485983565849667,1.6793352024188464,0.8231028130175035,2.2810305849626884
ANN signal,annual_return,10,0.1795818223203814,0.04879232495001489,0.1446803206505195,0.21448332399024328,0.1280500107311351,0.26920193260389724
ANN signal,sharpe,10,0.8210048315496895,0.21179013880754324,0.6695098189462882,0.9724998441530908,0.5589005110357578,1.1574826307927992
ANN signal,sortino,10,1.0826496905078948,0.27428835548104213,0.8864492531101613,1.2788501279056284,0.7264726541941781,1.5332612804795656
ANN signal,max_drawdown,10,-0.340700549459378,0.1266509516977629,-0.43129488794801196,-0.25010621097074404,-0.5113084035078168,-0.20702889181178963
ANN signal,annualized_turnover,10,0.2750639222006176,0.08069059525207962,0.21734535790146448,0.3327824864997707,0.20529415996825245,0.41848934337598387
ANN signal,total_cost,10,1481.8813236556782,488.55042114897986,1132.4176865567936,1831.3449607545629,1030.0941953775884,2307.994002158165
Base FinRL,total_return,10,1.0610125367059076,0.35944443801749426,0.8038993397729477,1.3181257336388674,0.6376919896273925,1.6226105705079936
Base FinRL,annual_return,10,0.15362932940793333,0.040305738400758497,0.12479834425729316,0.1824603145585735,0.10403514498935973,0.21342648779831253
Base FinRL,sharpe,10,0.68939010827456,0.16864462240318256,0.5687573944932892,0.8100228220558309,0.47741230216365077,0.9890013933303686
Base FinRL,sortino,10,0.9012775378330092,0.2281759227094047,0.7380616559166846,1.0644934197493339,0.6086489634274871,1.3031878700185477
Base FinRL,max_drawdown,10,-0.4196074067599387,0.14775457669947553,-0.525297320300427,-0.3139174932194504,-0.6507046999809527,-0.18310583434051142
Base FinRL,annualized_turnover,10,0.250802850379508,0.08249235246757411,0.19179547615933373,0.30981022459968227,0.19674635885066,0.4609964672851861
Base FinRL,total_cost,10,1329.5119856033803,507.8010784483762,966.2782146039463,1692.7457566028143,1003.0969380722042,2639.74449834681
QINN-MPS signal,total_return,10,1.2205161568817673,0.4341502383676467,0.9099653625738043,1.5310669511897301,0.7034089775662491,1.8929419390282822
QINN-MPS signal,annual_return,10,0.17038885161255712,0.0455407390805597,0.13781323274841822,0.20296447047669602,0.11278464228533625,0.2375472528839504
QINN-MPS signal,sharpe,10,0.78439743209746,0.17369176883346824,0.6601544581011838,0.9086404060937363,0.515098930422554,1.0614694703833347
QINN-MPS signal,sortino,10,1.0301540213121951,0.2435104534435567,0.8559692390499076,1.2043388035744826,0.6640619859137458,1.421634627528913
QINN-MPS signal,max_drawdown,10,-0.31971628114399325,0.11173309441969634,-0.39963976881265534,-0.23979279347533117,-0.533708625870543,-0.2027631641179345
QINN-MPS signal,annualized_turnover,10,0.24865895448761383,0.05890902985731785,0.20652090088919647,0.29079700808603115,0.19911644517863436,0.39089803147813446
QINN-MPS signal,total_cost,10,1313.0471358482123,330.7036417379435,1076.4924376211764,1549.6018340752482,1000.1246753635413,2094.160197291616
