split,model,parameter_count,mse,mae,directional_accuracy,information_coefficient
validation_2018,ANN,369,1.2817019973946226,0.7655392792543995,0.5044176706827309,0.03686672318784856
validation_2018,QINN-MPS,97,1.2794948957629908,0.7658704144181011,0.5046854082998661,0.033334970055824004
test_2019_2023,ANN,369,1.5149170491665962,0.8011432588528768,0.5014331210191083,0.00829923337175053
test_2019_2023,QINN-MPS,97,1.504235024080147,0.7970275439827484,0.5103503184713376,0.04213940145962689
