condition,year,metric,n_seeds,mean,standard_deviation,ci95_lower,ci95_upper,minimum,maximum
ANN signal,2019,period_return,10,0.1979063596162496,0.10011422225144972,0.12629393494360996,0.26951878428888926,0.02846664608504179,0.3437902131327848
ANN signal,2019,sharpe,10,1.5485939838361393,0.7766302005695596,0.9930648044045002,2.1041231632677784,0.2421322845984048,2.4018110967053046
ANN signal,2019,max_drawdown,10,-0.10055465614020775,0.06067263899980914,-0.1439542320681042,-0.05715508021231132,-0.21925311199522168,-0.03521484497416516
ANN signal,2019,annualized_turnover,10,1.0679003300126317,0.1601755423357759,0.953325610237951,1.1824750497873124,0.8766443910453361,1.4502312642655952
ANN signal,2019,total_cost,10,1088.5220489084006,156.7151603220536,976.4225653261747,1200.6215324906266,912.2161900012493,1466.9226868143082
ANN signal,2020,period_return,10,0.373389234538667,0.15896225671289257,0.25968238671385674,0.4870960823634773,0.09515698316437193,0.614714863949011
ANN signal,2020,sharpe,10,1.0843714393511834,0.320621348764342,0.8550286779485288,1.313714200753838,0.43062720177556113,1.4863128462365005
ANN signal,2020,max_drawdown,10,-0.21924733553702672,0.03544517870285177,-0.2446015273070124,-0.19389314376704103,-0.25662658922547577,-0.16511361061799923
ANN signal,2020,annualized_turnover,10,0.22416252301387138,0.21858933926593968,0.06780399332257667,0.3805210527051661,0.000671943079177994,0.5487579040247592
ANN signal,2020,total_cost,10,271.39686711406705,265.6052186438725,81.40754007298449,461.3861941551496,0.836221200466156,696.8423621664047
ANN signal,2021,period_return,10,0.2785040329515066,0.1251220810434586,0.18900330666005463,0.3680047592429586,0.17022124782452952,0.525305121861424
ANN signal,2021,sharpe,10,1.46252131841124,0.5268040796866652,1.0856945636765571,1.8393480731459229,0.8376406925462825,2.4888556968732702
ANN signal,2021,max_drawdown,10,-0.10959031713384446,0.02181587331753003,-0.1251953685389843,-0.09398526572870461,-0.14094646520427756,-0.08271312542241938
ANN signal,2021,annualized_turnover,10,0.014602402332318062,0.01746626069744661,0.0021086601808080196,0.027096144483828105,0.0,0.050286834875984184
ANN signal,2021,total_cost,10,24.40272440338135,29.400382422604302,3.3724189758719056,45.43302983089079,0.0,88.2035433807373
ANN signal,2022,period_return,10,-0.2346408466299902,0.12262960664512537,-0.3223586880217242,-0.14692300523825622,-0.4244931996929513,-0.031209351201669233
ANN signal,2022,sharpe,10,-0.6989106789470235,0.31491903234113455,-0.9241745323171024,-0.47364682557694454,-1.1440409144272594,-0.05632856386356705
ANN signal,2022,max_drawdown,10,-0.3208369624834936,0.12532717837847235,-0.41048439637676204,-0.23118952859022512,-0.4838996988637262,-0.1555928528136301
ANN signal,2022,annualized_turnover,10,0.04748829353446965,0.08118338484775181,-0.010582766713869395,0.1055593537828087,0.0,0.261674648253673
ANN signal,2022,total_cost,10,72.42703753776551,115.62686694058817,-10.28169367645809,155.13576875198913,0.0,368.2923429222107
ANN signal,2023,period_return,10,0.4512986029533364,0.13648818635544638,0.35366761961976645,0.5489295862869064,0.2900658311457014,0.7407226120013528
ANN signal,2023,sharpe,10,2.128370730132725,0.3195734405376961,1.8997775450365817,2.3569639152288677,1.5626160178555453,2.6068527039298677
ANN signal,2023,max_drawdown,10,-0.11081221830191652,0.03503571119336281,-0.13587351501144293,-0.08575092159239012,-0.17737249131013866,-0.07237025712059175
ANN signal,2023,annualized_turnover,10,0.016292842302758855,0.0491591787541924,-0.01887107253704757,0.05145675714256528,0.0,0.1560911561070621
ANN signal,2023,total_cost,10,25.132645692062376,75.82781224747475,-29.107534879132302,79.37282626325705,0.0,240.7696554431915
Base FinRL,2019,period_return,10,0.14276269689802637,0.08363051970347556,0.08294118345154773,0.20258421034450502,-0.011845851792946394,0.2667174212733643
Base FinRL,2019,sharpe,10,1.0718848196666515,0.6089927191446001,0.636267938816367,1.507501700516936,0.060348617342209414,1.6708086211094555
Base FinRL,2019,max_drawdown,10,-0.13663883895156034,0.06990100997685031,-0.1866395351457131,-0.08663814275740758,-0.25608686203365105,-0.06385987869603116
Base FinRL,2019,annualized_turnover,10,1.064560932483427,0.11144633549794677,0.9848425655380866,1.1442792994287676,0.9790224277040749,1.2569558449951355
