split,model,parameter_count,mse,mae,directional_accuracy,information_coefficient
validation_2018,ANN,369,1.2237245154371696,0.7483948725905212,0.49825970548862114,0.02220378232160962
validation_2018,QINN-MPS,97,1.222060809950467,0.7485349751044156,0.5087014725568942,0.024595553430564316
test_2019_2020,ANN,369,1.7701251724115228,0.8229555219484215,0.5106270627062707,-0.004039475157125987
test_2019_2020,QINN-MPS,97,1.7645545171243509,0.8216796759428765,0.5056105610561056,0.08017698339999729
