model,epoch,train_huber,validation_huber
ANN,1,0.3250667691810483,0.42250555753707886
ANN,2,0.30448107918103534,0.41436097025871277
ANN,3,0.30340423482798773,0.4156501293182373
ANN,4,0.30294811504272945,0.41464635729789734
ANN,5,0.30298713499418306,0.4138656556606293
ANN,6,0.3029909464398071,0.4140512943267822
ANN,7,0.3027491824169479,0.41511204838752747
ANN,8,0.3027245932559225,0.41424524784088135
ANN,9,0.3026249743056023,0.41473230719566345
ANN,10,0.30243156461669324,0.4139907956123352
ANN,11,0.30272579760703233,0.4139748811721802
ANN,12,0.3023975513183786,0.4140537977218628
ANN,13,0.3022412746222434,0.41466671228408813
ANN,14,0.30222169404320753,0.41432321071624756
ANN,15,0.30220945448500197,0.41473278403282166
QINN-MPS,1,0.3036294851020624,0.4136424660682678
QINN-MPS,2,0.3035837999969115,0.41360917687416077
QINN-MPS,3,0.3035612161659119,0.41361138224601746
QINN-MPS,4,0.30354845598669417,0.4135834276676178
QINN-MPS,5,0.30352475033409293,0.4135274291038513
QINN-MPS,6,0.30332316708817725,0.4137028455734253
QINN-MPS,7,0.30307418080582016,0.4139418303966522
QINN-MPS,8,0.3030858062306513,0.4140544533729553
QINN-MPS,9,0.3030340180393872,0.4136797785758972
QINN-MPS,10,0.30301093682053865,0.41389626264572144
QINN-MPS,11,0.30296927365868837,0.4138634502887726
QINN-MPS,12,0.3029441047884741,0.4143431782722473
QINN-MPS,13,0.302939267958507,0.41453027725219727
QINN-MPS,14,0.30291925068980924,0.41471362113952637
QINN-MPS,15,0.3029141175441253,0.4144169092178345
