condition,seed,year,observations,period_return,annualized_volatility,sharpe,max_drawdown,positive_day_frequency,gross_traded_notional,total_cost,cumulative_turnover,annualized_turnover
ANN signal,0,2019,252,0.1515420209596332,0.07923560392320173,1.8207985630938053,-0.05739966059028401,0.6111111111111112,1200793.9550709724,1200.7939550709725,1.1531555692237403,1.1531555692237403
ANN signal,0,2020,253,0.13374268416588042,0.34971635787917127,0.5326791218483897,-0.26785989450405223,0.549407114624506,76278.39064216614,76.27839064216613,0.06828410233796978,0.0680142047002703
ANN signal,1,2019,252,0.2737824791760719,0.10939135266021527,2.2678555046138174,-0.0602762118791228,0.5753968253968254,1031632.0185422897,1031.6320185422896,1.012180235994522,1.012180235994522
ANN signal,1,2020,253,0.18910599102288073,0.33083030167216854,0.6859691996291156,-0.21985339001916626,0.5573122529644269,62662.78512382507,62.662785123825074,0.05094027108182381,0.050738926136836365
ANN signal,2,2019,252,0.04053752136467881,0.20142200314263656,0.29806764363516164,-0.21868878975297057,0.5079365079365079,1002700.7315251827,1002.7007315251828,0.979936417325876,0.979936417325876
ANN signal,2,2020,253,0.5034242447842177,0.365947266276525,1.294079926701571,-0.2388696664725921,0.5533596837944664,0.0,0.0,0.0,0.0
ANN signal,3,2019,252,0.17914115198900116,0.06856406811946043,2.438343567399155,-0.048165945605060934,0.6071428571428571,1630495.5606303215,1630.4955606303215,1.5624766170317175,1.5624766170317175
ANN signal,3,2020,253,0.33659228805976027,0.32649121237951473,1.048142516303424,-0.21893134162926653,0.5968379446640316,832774.64311409,832.7746431140899,0.6721465622513466,0.669489856471697
ANN signal,4,2019,252,0.07627976392651936,0.1562866456366846,0.5485918330997924,-0.165270187042048,0.5357142857142857,1205965.5084495544,1205.9655084495544,1.1859843977608224,1.1859843977608224
ANN signal,4,2020,253,0.33681274720254617,0.3386522515828259,1.0244989261405375,-0.2636514121226008,0.6007905138339921,716773.8557777405,716.7738557777404,0.635909629181794,0.633396152386609
ANN signal,5,2019,252,0.10104418912111379,0.06655822899758194,1.4795632497906608,-0.04472498128735869,0.5595238095238095,701871.6508293152,701.8716508293152,0.6919230733245232,0.6919230733245232
ANN signal,5,2020,253,0.04649307592409113,0.37182219206828804,0.3081689147693724,-0.23449931119813894,0.549407114624506,784534.6100273132,784.5346100273134,0.7232016161841738,0.7203431117723785
ANN signal,6,2019,252,0.12288396285864622,0.14697491773833155,0.8622900117910128,-0.12249972746506144,0.5674603174603174,1020157.70104599,1020.15770104599,0.9990201763568253,0.9990201763568253
ANN signal,6,2020,253,0.23041148748693252,0.33094334865362407,0.7912381234274312,-0.32055102220222476,0.5731225296442688,52542.26990222931,52.54226990222931,0.05543750591688212,0.055218385340135547
ANN signal,7,2019,252,0.22799675965203292,0.1121672702298482,1.8878466626313668,-0.07794979123776036,0.5793650793650794,1503798.2760529518,1503.798276052952,1.462342095482822,1.462342095482822
ANN signal,7,2020,253,0.19359470251453725,0.34569839184404383,0.6827343195181773,-0.2695057081867889,0.5770750988142292,708681.6201286316,708.6816201286316,0.5828499452868297,0.5805461905623758
ANN signal,8,2019,252,0.2817185462986165,0.12027539823165743,2.1246122961612324,-0.06912590634177829,0.5873015873015873,1236160.772687912,1236.160772687912,1.1840411605040146,1.1840411605040146
ANN signal,8,2020,253,0.34600350416679326,0.3112804720446191,1.1058302115310565,-0.190228046613797,0.5652173913043478,177644.20003128052,177.64420003128052,0.1427150632626088,0.14215097210346805
ANN signal,9,2019,252,0.004157449943454905,0.22681881495237977,0.13207911481519796,-0.25105593496879386,0.5277777777777778,1197391.0258681774,1197.3910258681774,1.1886402164264975,1.1886402164264975
ANN signal,9,2020,253,0.6497799505491062,0.36572530914440965,1.5480200633300096,-0.22073539599838987,0.5770750988142292,844202.45013237,844.20245013237,0.731385775838942,0.7284949229700134
Base FinRL,0,2019,252,0.1336128108111052,0.09727896564199705,1.3380569506207185,-0.07333956776061656,0.5634920634920635,1425552.646100998,1425.552646100998,1.3757005406039104,1.3757005406039104
Base FinRL,0,2020,253,0.32838998981066103,0.3159673504336399,1.0534918353030853,-0.1953033054576062,0.5691699604743083,627873.2232804298,627.8732232804298,0.4899439952494102,0.48800745771878007
Base FinRL,1,2019,252,0.2128430049359411,0.08996655000678128,2.1904551346790155,-0.05049856356692184,0.5793650793650794,1116339.5693740845,1116.3395693740845,1.0661396083360897,1.0661396083360897
Base FinRL,1,2020,253,0.31566864672950556,0.44029421470376534,0.8412109642718636,-0.3057790720475375,0.5612648221343873,239834.5653424263,239.83456534242632,0.1886101081523407,0.18786461365371482
Base FinRL,2,2019,252,0.17828492462565482,0.0866327917704429,1.9375487652706733,-0.04100656798481861,0.5515873015873016,1568735.2921814919,1568.735292181492,1.489036393193654,1.489036393193654
Base FinRL,2,2020,253,0.33989882458793175,0.3671046323970268,0.9780010357832968,-0.23165634336437635,0.5849802371541502,108023.39097118378,108.02339097118377,0.08944589496327872,0.08909235387646733
Base FinRL,3,2019,252,0.29415095128049074,0.14663861981588386,1.8325741465910794,-0.09506799694982893,0.5753968253968254,999543.9542376995,999.5439542376995,0.9824418613128032,0.9824418613128032
Base FinRL,3,2020,253,0.4621568891214729,0.33473438523498156,1.2991409933309157,-0.23612348598243227,0.6047430830039525,167.2388892173767,0.1672388892173767,0.0001466181869662869,0.00014603866844072847
Base FinRL,4,2019,252,0.12872834365442132,0.061391791381866734,2.003498472147622,-0.03394503147640082,0.5714285714285714,1385778.1884407997,1385.7781884407996,1.3086143850565484,1.3086143850565484
Base FinRL,4,2020,253,0.21892210505178955,0.3029041964887418,0.8012860657209153,-0.187796220636822,0.5454545454545454,799485.7286510468,799.4857286510468,0.6884238269120736,0.6857027841179547
Base FinRL,5,2019,252,0.05348914608743782,0.1373783166941918,0.4479696605040056,-0.14557465279696125,0.5317460317460317,1079320.4142742157,1079.3204142742156,1.047657874249844,1.047657874249844
Base FinRL,5,2020,253,0.3607481243073172,0.33327463194578183,1.0889563186428328,-0.27370357062969863,0.5731225296442688,46053.05651092529,46.053056510925295,0.046378753118540825,0.04619543788882327
Base FinRL,6,2019,252,0.13682074622958385,0.11967146227324034,1.1316743147828414,-0.08842532169590833,0.5674603174603174,1041345.2943031788,1041.345294303179,1.0192292518557085,1.0192292518557085
Base FinRL,6,2020,253,0.09575115157633096,0.35392268954214356,0.43559128847718204,-0.31402812970163585,0.5573122529644269,31.6749587059021,0.031674958705902104,2.728355549703291e-05,2.717571535672843e-05
Base FinRL,7,2019,252,0.14312353875782025,0.1451826519219507,0.9941709132276633,-0.12258226559979102,0.5515873015873016,1109130.6798288822,1109.1306798288824,1.075609820812888,1.075609820812888
Base FinRL,7,2020,253,0.4991197438770332,0.35409253962244447,1.3172012539701348,-0.2304282950665012,0.5849802371541502,183495.341650486,183.49534165048598,0.15513459882196934,0.15452141858947144
Base FinRL,8,2019,252,0.16257483820802077,0.14725365461037462,1.0968734984036357,-0.1108879143512318,0.5476190476190477,1041468.0003492832,1041.468000349283,1.0239615717879933,1.0239615717879933
Base FinRL,8,2020,253,0.4228577243142686,0.34122492426423673,1.2003411437063203,-0.21156071261144882,0.5810276679841897,156146.70415210724,156.14670415210725,0.11738567191371142,0.11692169692591019
Base FinRL,9,2019,252,0.3431305876978601,0.1389106560847843,2.1942372869201963,-0.06398201268152115,0.5753968253968254,1001242.5519294739,1001.242551929474,0.9830550163100588,0.9830550163100588
Base FinRL,9,2020,253,0.3303361616624829,0.3679976160829099,0.9566215571885872,-0.2311067827612443,0.5612648221343873,124752.77275085449,124.75277275085449,0.09840852034911024,0.09801955386551692
Equal-weight buy-and-hold,-1,2019,252,0.43515128436501493,0.1614483195058726,2.319678517951577,-0.0776179228914583,0.5714285714285714,1000000.0,1000.0,1.0,1.0
Equal-weight buy-and-hold,-1,2020,253,0.36131990869053787,0.34786155409300296,1.0585749304446839,-0.2853940681275874,0.5928853754940712,0.0,0.0,0.0,0.0
QINN-MPS signal,0,2019,252,0.13417022977685478,0.08078902560312759,1.5990793201916116,-0.06120473282781125,0.5912698412698413,1149310.2245407104,1149.3102245407104,1.1110168764145631,1.1110168764145631
QINN-MPS signal,0,2020,253,0.21749908720298494,0.3203441943669245,0.7723327988473678,-0.2111121543500062,0.5849802371541502,87783.78545379639,87.78378545379638,0.07484072417498448,0.07454491103595293
QINN-MPS signal,1,2019,252,0.3195106410256421,0.11367586663866198,2.4971585768277293,-0.05882699847476147,0.5793650793650794,1151004.9609165192,1151.0049609165192,1.1204837410152677,1.1204837410152677
