total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,total_cost,trade_count,gross_traded_notional,cumulative_turnover,average_daily_turnover,annualized_turnover,condition,seed,state_features_per_asset,ppo_timesteps,condition_elapsed_seconds,train_approx_kl,train_clip_fraction,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_policy_gradient_loss,train_value_loss,vix_train_75pct_threshold,high_vix_mean_daily_return,high_vix_daily_volatility,low_vix_mean_daily_return,monthly_positive_frequency,monthly_outperformance_frequency
0.5058799102025855,0.2271429868611829,0.2338190524374567,0.9910125152548754,1.1580928817518206,-0.1953033054576068,1.1630268434472928,2053.4258693814304,3524,2053425.869381428,1.8656445358533371,0.0037016756663756,0.9328222679266688,Base FinRL,0,10,20000,31.584216599992946,0.0042271427810192,0.013671875,-21.21802854537964,0.9644049406051636,0.0003,-0.0086351074278354,-0.0096311896728972,0.0243618247720102,16.920000076293945,0.0006422348581131522,0.019107376655506596,0.0012758372359798096,0.7391304347826086,0.34782608695652173
0.5956995149994031,0.2632100043141692,0.3177896886475521,0.8933442870159546,1.0132337049714957,-0.305779072047538,0.8607848880947914,1356.1741347165091,2674,1356174.1347165108,1.25474971648845,0.0024895827708104,0.627374858244225,Base FinRL,1,10,20000,33.07287519998499,0.0035687661729753,0.0084635416666666,-21.2761492729187,0.9568873643875122,0.0003,-0.0200477186590433,-0.0098414892951647,0.0225276302856703,16.920000076293945,0.0004937230833631994,0.026079152652924,0.001939820904203939,0.782608695652174,0.43478260869565216
0.5787825855355777,0.2564961542064414,0.266752626126962,0.9882986690673612,1.1207610836344872,-0.2316563433643769,1.1072269832170902,1676.7586831526733,3511,1676758.6831526756,1.578482288156949,0.0031319093018987,0.7892411440784745,Base FinRL,2,10,20000,32.16743890001089,0.0066920672543346,0.029296875,-21.289175192515057,0.7455995082855225,0.0003,-0.009164460003376,-0.0131483366324876,0.0806580958887934,16.920000076293945,0.000578967306928633,0.021802421938025326,0.0016465247574218645,0.7391304347826086,0.391304347826087
0.8922517289778775,0.3755914106223104,0.2583791212136195,1.3621888140794898,1.604249614178433,-0.23612348598243216,1.5906567237883944,999.7111931269169,6018,999711.1931269169,0.9825884794997695,0.0019495803164677966,0.49129423974988473,Base FinRL,3,10,20000,31.727605799998855,0.008197369053959846,0.04296875,-21.281826814015705,0.9484571218490601,0.0003,-0.02198965661227703,-0.014264430850744247,0.034799015459915005,16.920000076293945,0.0006854014344222014,0.020554768609412667,0.0023107011822031316,0.6521739130434783,0.43478260869565216
0.37583192867886717,0.1729586218954473,0.21855598837751003,0.8371958447938548,0.9927954468882288,-0.18779622063682222,0.9209909619530138,2185.2639170918474,3650,2185263.9170918465,1.9970382119686216,0.003962377404699646,0.9985191059843107,Base FinRL,4,10,20000,32.35652310002479,0.0040820748545229435,0.014322916666666666,-21.279316743214924,0.8933398127555847,0.0003,-0.00891408696770668,-0.01470930160333713,0.05992693298806747,16.920000076293945,0.0004777969752383754,0.01809522940611767,0.0010451587223478233,0.7391304347826086,0.30434782608695654
0.43353337951659965,0.19730254301767847,0.25500045617096706,0.8334487573974145,0.957464576107826,-0.2737035706296984,0.7208621449977898,1125.3734707851418,3039,1125373.470785141,1.0940366273683848,0.0021707075939848904,0.5470183136841924,Base FinRL,5,10,20000,31.60489129999769,0.0027281646616756916,0.006510416666666667,-21.28539164861043,0.972096860408783,0.0003,-0.014440130442380905,-0.009451571463917693,0.03383868094533682,16.920000076293945,0.0004237002983155318,0.020318161413561672,0.0013826792498481742,0.6521739130434783,0.4782608695652174
0.24567264181693016,0.1160970575254332,0.2641272388303683,0.5482809416572394,0.5925431625112747,-0.3140281297016356,0.3697027321588653,1041.3769692618855,3816,1041376.9692618847,1.0192565354112055,0.002022334395657154,0.5096282677056028,Base FinRL,6,10,20000,31.9029440000013,0.0033360610250383615,0.005859375,-21.216422875722248,0.4649614095687866,0.0003,0.07978566735982895,-0.009053528502893945,0.28368424872557324,16.920000076293945,-2.132581329146943e-05,0.021526387327520227,0.0013405568317420911,0.6521739130434783,0.17391304347826086
0.7136790666424284,0.3090756535213801,0.27072320873745614,1.1291704200877901,1.3673500744351088,-0.23042829506650142,1.3413094664966432,1292.6260214793656,5061,1292626.0214793682,1.2307444196348571,0.0024419532135612244,0.6153722098174286,Base FinRL,7,10,20000,31.44057150001754,0.003133256919682026,0.005859375,-21.27807092666626,0.9639686346054077,0.0003,-0.013401176780462265,-0.010380275004232923,0.03550715853149692,16.920000076293945,0.0007494149373139075,0.02166018789905901,0.0018088891516160328,0.6521739130434783,0.43478260869565216
0.6541785886376978,0.28614874281231484,0.26282539992723153,1.0874066403659108,1.378894129562384,-0.21156071261144838,1.3525608761672805,1197.6147045013895,4086,1197614.7045013905,1.1413472437017047,0.002264577864487509,0.5706736218508524,Base FinRL,8,10,20000,31.83013239997672,0.006198149640113115,0.020833333333333332,-21.282439549763996,0.8787230253219604,0.0003,0.00152534618973732,-0.009376683815692862,0.06761037496229012,16.920000076293945,0.0006562821432352185,0.020919280668854335,0.0017481726741269707,0.6956521739130435,0.391304347826087
0.7868151906494414,0.3367180670019543,0.2780703856025609,1.1812313634055918,1.4215527369490333,-0.2311067827612444,1.4569804614943582,1125.995324680329,4123,1125995.3246803284,1.081463536659169,0.002145760985434859,0.5407317683295845,Base FinRL,9,10,20000,31.738701399997808,0.010068360716104507,0.050130208333333336,-21.213326454162598,0.945448100566864,0.0003,-0.005303919315338135,-0.012950441256786386,0.045395992075403534,16.920000076293945,0.0006076242768327135,0.02239013069896691,0.0021975975618256185,0.6521739130434783,0.391304347826087
