condition,metric,n_seeds,mean,standard_deviation,ci95_lower,ci95_upper,minimum,maximum
ANN signal,total_return,3,1.0466098280924743,0.3461756810022798,0.18659235698629006,1.9066272991986586,0.6475133439166347,1.2656285441411144
ANN signal,annual_return,3,0.15263756544452564,0.04099431943393325,0.05079381135060883,0.25448131953844244,0.10536038479668752,0.17832197304892672
ANN signal,sharpe,3,0.7348263406262454,0.11525146519852679,0.4485027220683414,1.0211499591841493,0.6023175951258246,0.8117565976412721
ANN signal,sortino,3,0.9476698018521423,0.14291162682150355,0.5926289869258887,1.302710616778396,0.7831179216329063,1.0407040930437959
ANN signal,max_drawdown,3,-0.27553074995798765,0.02320058223462393,-0.33316884285880277,-0.21789265705717256,-0.2980329417295927,-0.2516897557353843
ANN signal,annualized_turnover,3,0.2731871725602964,0.04346337736000152,0.16520944352208553,0.38116490159850724,0.24592760752501297,0.3233101360451169
ANN signal,total_cost,3,1429.6546332253602,216.80088753404095,891.0479047262133,1968.261361724507,1302.1384687621594,1679.9799839849456
Base FinRL,total_return,3,0.7324433044222735,0.287985139844617,0.01699081807706071,1.447895790767486,0.39994069314400993,0.9028117560602282
Base FinRL,annual_return,3,0.11479827427739438,0.03894634412614563,0.01804238349031631,0.21155416506447244,0.06983053912375836,0.13777693186673656
Base FinRL,sharpe,3,0.558953240740982,0.10743709008324936,0.2920431728561298,0.8258633086258341,0.4357489272871217,0.6331351902058092
Base FinRL,sortino,3,0.7098330585257079,0.13596645415712402,0.37204640141297257,1.0476197156384432,0.5529204428814288,0.7928390855495526
Base FinRL,max_drawdown,3,-0.40460568940931463,0.11212367500833798,-0.6831588192901148,-0.12605255952851446,-0.4956731535861959,-0.27937405130277504
Base FinRL,annualized_turnover,3,0.2642929631613591,0.08856125744788734,0.044276847506446254,0.48430907881627194,0.2101932701096108,0.3664960779430512
Base FinRL,total_cost,3,1375.3842222949686,483.25012790547987,174.8274653624278,2575.940979227509,1082.7390028388513,1933.1673620472002
QINN-MPS signal,total_return,3,0.9426984713606429,0.2550002848464598,0.3091915205833444,1.5762054221379413,0.6576498479787101,1.1491415361904527
QINN-MPS signal,annual_return,3,0.14142726200491915,0.030889891965292664,0.06468632314457418,0.21816820086526412,0.10672154332043404,0.1659089531990494
QINN-MPS signal,sharpe,3,0.6936145897604241,0.0858913855950208,0.4802313387609137,0.9069978407599346,0.5962484521261298,0.758644112354072
QINN-MPS signal,sortino,3,0.9032680103675301,0.11241719793582768,0.6239856702629485,1.1825503504721118,0.7841490538808452,1.0074999862563536
QINN-MPS signal,max_drawdown,3,-0.26793850371701716,0.07900202393092715,-0.4642062503034643,-0.07167075713057003,-0.3577239109630025,-0.20907242292752637
QINN-MPS signal,annualized_turnover,3,0.24140065816052103,0.013107784890742793,0.20883648732997032,0.2739648289910718,0.226273182780025,0.2493929296316429
QINN-MPS signal,total_cost,3,1253.612412970703,48.42112775377986,1133.3179552019003,1373.9068707395056,1198.6812464632999,1290.1074382088157
