date,account_value,gross_traded_notional,daily_turnover,transaction_cost,daily_return,condition,seed
2019-01-02,1000000.0,0.0,0.0,0.0,0.0,Base FinRL,0
2019-01-03,999949.8285308608,5353.10213470459,0.00535310213470459,5.35310213470459,-5.017146913921522e-05,Base FinRL,0
2019-01-04,1000550.5547581328,6133.063804626465,0.006133371524886645,6.133063804626465,0.0006007563681016403,Base FinRL,0
2019-01-07,1000998.3083191375,4503.492370605469,0.004501014315757505,4.503492370605469,0.0004475071837954925,Base FinRL,0
2019-01-08,1001265.1712143364,4081.730655670166,0.004077659893875496,4.0817306556701665,0.00026659674944595757,Base FinRL,0
2019-01-09,1001265.157822445,3629.908004760742,0.0036253213525427857,3.6299080047607424,-1.3374969798363168e-08,Base FinRL,0
2019-01-10,1001539.4145764887,3238.0274505615234,0.0032339360111197685,3.2380274505615234,0.0002739102143931582,Base FinRL,0
2019-01-11,1001928.0064429514,2965.8003158569336,0.0029612417371622395,2.9658003158569337,0.00038799458194760383,Base FinRL,0
2019-01-14,1001514.472953518,2742.3898849487305,0.002737112714001052,2.7423898849487305,-0.0004127377284336431,Base FinRL,0
2019-01-15,1002860.6752012941,2966.1329612731934,0.002961647626045696,2.9661329612731935,0.0013441665439002382,Base FinRL,0
2019-01-16,1002776.5149385149,2981.61287689209,0.0029731077811916604,2.9816128768920898,-8.392019436032072e-05,Base FinRL,0
2019-01-17,1003051.6563460085,3299.1328201293945,0.0032899980912812665,3.299132820129395,0.0002743795884674327,Base FinRL,0
2019-01-18,1002465.7803037608,3488.831401824951,0.0034782170786042334,3.4888314018249513,-0.0005840935893391963,Base FinRL,0
2019-01-22,1001375.9931053392,4053.7198753356934,0.004043748878996509,4.053719875335694,-0.0010871066322994949,Base FinRL,0
2019-01-23,1001347.3171035653,3020.7168922424316,0.003016566118062178,3.0207168922424317,-2.863659801244367e-05,Base FinRL,0
2019-01-24,1001737.5487185441,2207.1515007019043,0.0022041817689052914,2.2071515007019045,0.000389706556669589,Base FinRL,0
2019-01-25,1002214.1608286743,2181.5681533813477,0.002177784147326894,2.1815681533813476,0.0004757854098011993,Base FinRL,0
2019-01-28,1001677.9941184921,2655.781074523926,0.002649913739322951,2.655781074523926,-0.0005349821736093663,Base FinRL,0
2019-01-29,1001021.0168111266,2685.4181747436523,0.002680919607410268,2.6854181747436523,-0.0006558767500365326,Base FinRL,0
2019-01-30,1002292.2795039633,3410.4104957580566,0.0034069319609515607,3.4104104957580565,0.0012699660361641385,Base FinRL,0
2019-01-31,1003096.576451393,2433.151294708252,0.0024275865877291043,2.433151294708252,0.0008024574905711734,Base FinRL,0
2019-02-01,1002268.5972923278,2663.6950454711914,0.0026554721728733427,2.6636950454711914,-0.0008254231731048556,Base FinRL,0
2019-02-04,1003171.3082933575,2909.0246047973633,0.002902440136961509,2.9090246047973634,0.0009006677486138592,Base FinRL,0
2019-02-05,1003745.4222543446,2881.6444816589355,0.0028725347882619626,2.8816444816589355,0.0005722990243448578,Base FinRL,0
2019-02-06,1003408.5450779684,2780.0694427490234,0.00276969576260201,2.7800694427490233,-0.0003356201372450851,Base FinRL,0
2019-02-07,1002697.3189225383,3036.446720123291,0.003026132012745963,3.036446720123291,-0.0007088101441021788,Base FinRL,0
2019-02-08,1002763.7398918071,2237.8480224609375,0.0022318280703748634,2.2378480224609376,6.624229267915283e-05,Base FinRL,0
2019-02-11,1002725.0590696636,2290.1437377929688,0.002283831820683966,2.290143737792969,-3.857421305208941e-05,Base FinRL,0
2019-02-12,1004231.3428127018,2355.0737953186035,0.0023486735212378753,2.3550737953186034,0.0015021901860472475,Base FinRL,0
2019-02-13,1003825.3998057629,2924.036449432373,0.0029117159809437776,2.924036449432373,-0.0004042325603997865,Base FinRL,0
2019-02-14,1004147.2854429204,2860.8113594055176,0.002849909316858366,2.860811359405518,0.00032065898832578377,Base FinRL,0
2019-02-15,1004230.304120758,2373.400562286377,0.0023635980465151495,2.373400562286377,8.267579770526723e-05,Base FinRL,0
2019-02-19,1004779.9812043034,3775.6065788269043,0.0037597018964017344,3.7756065788269044,0.000547361577608152,Base FinRL,0
2019-02-20,1004869.6254047544,3703.7151985168457,0.0036860957302091825,3.703715198516846,8.921774132431004e-05,Base FinRL,0
2019-02-21,1004702.3741798629,4426.727668762207,0.004405275626655699,4.426727668762207,-0.00016644072092852902,Base FinRL,0
2019-02-22,1005706.625205326,3665.8904304504395,0.0036487327239003494,3.6658904304504394,0.0009995507637601264,Base FinRL,0
2019-02-25,1005673.8026657486,4603.675136566162,0.004577552758615139,4.603675136566162,-3.2636296465327064e-05,Base FinRL,0
2019-02-26,1005671.7621298371,3800.145133972168,0.0037787055046070495,3.800145133972168,-2.0290236318887267e-06,Base FinRL,0
2019-02-27,1005571.5521020012,3845.8310585021973,0.0038241414379154874,3.8458310585021973,-9.964486585933852e-05,Base FinRL,0
2019-02-28,1005316.86276725,4377.658725738525,0.004353403511254536,4.3776587257385255,-0.0002532781821629193,Base FinRL,0
2019-03-01,1006121.0864687539,4309.478733062744,0.004286687006522908,4.309478733062744,0.0007999703688348347,Base FinRL,0
2019-03-04,1006082.748517109,4681.182846069336,0.004652703247179896,4.681182846069336,-3.8104709423669725e-05,Base FinRL,0
2019-03-05,1005910.3939033585,4488.299816131592,0.004461163679376285,4.488299816131592,-0.00017131256251490257,Base FinRL,0
2019-03-06,1005502.0645471154,4419.711162567139,0.004393742414189386,4.419711162567139,-0.00040593014916434633,Base FinRL,0
2019-03-07,1004497.7335641708,4055.9795112609863,0.004033785363820039,4.055979511260986,-0.0009988353265062422,Base FinRL,0
2019-03-08,1004068.9098470669,4359.125123977661,0.004339606729136722,4.359125123977662,-0.00042690361837094404,Base FinRL,0
2019-03-11,1005844.8888402577,4608.828769683838,0.004590151855599058,4.608828769683838,0.001768781978779943,Base FinRL,0
2019-03-12,1006359.2913323384,5396.025146484375,0.005364669251047256,5.396025146484375,0.0005114133379688912,Base FinRL,0
2019-03-13,1007431.9878460903,5740.448375701904,0.00570417387223803,5.740448375701904,0.001065918030459967,Base FinRL,0
2019-03-14,1007237.7535071507,5614.296138763428,0.005572878572941588,5.614296138763428,-0.0001928014409736667,Base FinRL,0
2019-03-15,1008048.6935855921,5293.155963897705,0.005255120695652248,5.293155963897705,0.0008051128699433363,Base FinRL,0
2019-03-18,1008524.2663514727,5574.119037628174,0.005529612877926797,5.574119037628174,0.00047177558872579795,Base FinRL,0
2019-03-19,1008646.1061552066,3576.978645324707,0.0035467452441824763,3.576978645324707,0.0001208099872247459,Base FinRL,0
2019-03-20,1008882.6718762531,3925.5280380249023,0.003891878443856162,3.9255280380249022,0.0002345378816246413,Base FinRL,0
2019-03-21,1010648.2159255123,3678.4887351989746,0.0036461016109613272,3.678488735198975,0.0017499993789920065,Base FinRL,0
2019-03-22,1008804.7679054086,3732.9360275268555,0.0036936057163158183,3.7329360275268555,-0.0018240254037508175,Base FinRL,0
2019-03-25,1008799.4244748552,3218.95316696167,0.0031908583993364883,3.2189531669616698,-5.296793515907616e-06,Base FinRL,0
2019-03-26,1009931.9801589468,3311.3622646331787,0.0032824783443517083,3.311362264633179,0.0011226767746037591,Base FinRL,0
2019-03-27,1009103.4829309233,3621.3563652038574,0.003585742838477018,3.6213563652038574,-0.0008203495327409049,Base FinRL,0
2019-03-28,1009327.6034862096,3913.3592796325684,0.003878055467875589,3.9133592796325685,0.00022209868371025898,Base FinRL,0
2019-03-29,1010038.2047273365,4014.521583557129,0.003977421770385555,4.014521583557129,0.0007040342884436779,Base FinRL,0
2019-04-01,1011304.5710453867,4112.353977203369,0.004071483591369214,4.1123539772033695,0.0012537806115879846,Base FinRL,0
2019-04-02,1011269.2919227175,4135.850269317627,0.00408961888211619,4.135850269317627,-3.488476536084306e-05,Base FinRL,0
2019-04-03,1011371.4469243312,4032.6395301818848,0.00398770096391898,4.032639530181885,0.00010101661588035604,Base FinRL,0
2019-04-04,1011738.6116029161,3531.812656402588,0.003492102399314454,3.531812656402588,0.00036303642909985,Base FinRL,0
2019-04-05,1012859.5365537637,3587.9580879211426,0.0035463291079073024,3.587958087921143,0.001107919513985589,Base FinRL,0
2019-04-08,1013092.9192142175,3821.566993713379,0.003773047353353844,3.821566993713379,0.0002304195715507884,Base FinRL,0
2019-04-09,1012302.841257312,4028.358211517334,0.003976296877725528,4.028358211517334,-0.0007798672184169408,Base FinRL,0
2019-04-10,1012429.2981333878,3652.804100036621,0.003608410399697904,3.6528041000366214,0.00012492000508346202,Base FinRL,0
2019-04-11,1012617.432803119,3608.833839416504,0.003564529242753146,3.608833839416504,0.00018582499546182518,Base FinRL,0
2019-04-12,1013895.3453341399,3303.727981567383,0.0032625628144896056,3.303727981567383,0.0012619894637635465,Base FinRL,0
2019-04-15,1013516.5935391494,3866.87296295166,0.0038138778136685217,3.86687296295166,-0.000373561035400205,Base FinRL,0
2019-04-16,1013287.0576754714,4145.509521484375,0.004090223631177525,4.145509521484375,-0.00022647469724834668,Base FinRL,0
2019-04-17,1013889.6445999518,3863.305164337158,0.003812646312881725,3.863305164337158,0.0005946853065139646,Base FinRL,0
2019-04-18,1016366.4471348907,3644.662021636963,0.0035947324652625574,3.644662021636963,0.0024428719122742137,Base FinRL,0
2019-04-22,1016522.5977317649,3280.6546516418457,0.003227826598260816,3.2806546516418456,0.00015363611944718691,Base FinRL,0
2019-04-23,1019549.9781131583,2764.7411346435547,0.0027198029250040355,2.764741134643555,0.0029781732232501135,Base FinRL,0
2019-04-24,1019133.7836446904,3040.457695007324,0.0029821565987713343,3.040457695007324,-0.00040821389574063893,Base FinRL,0
2019-04-25,1019105.9384006489,3062.792411804199,0.0030052898460993494,3.062792411804199,-2.732246196568422e-05,Base FinRL,0
2019-04-26,1018186.5773503596,3057.102840423584,0.002999789055513993,3.057102840423584,-0.0009021251036296363,Base FinRL,0
2019-04-29,1016770.9967006481,3361.083366394043,0.0033010485908590887,3.361083366394043,-0.0013902959253256908,Base FinRL,0
2019-04-30,1018058.1612066752,3004.450729370117,0.002954894208351097,3.004450729370117,0.0012659335388243154,Base FinRL,0
2019-05-01,1015898.0857415224,3277.8501014709473,0.003219708093676893,3.277850101470947,-0.0021217603742723634,Base FinRL,0
2019-05-02,1015712.5719740168,2877.6858100891113,0.002832652064688789,2.8776858100891114,-0.0001826106083959722,Base FinRL,0
2019-05-03,1019977.8233374392,2890.0702934265137,0.002845362332977449,2.890070293426514,0.004199270030824653,Base FinRL,0
2019-05-06,1019153.3705624263,3260.682117462158,0.0031968166786146162,3.2606821174621583,-0.0008083046083445788,Base FinRL,0
2019-05-07,1016136.274167296,3117.410297393799,0.003058823517085987,3.117410297393799,-0.0029603948554526305,Base FinRL,0
2019-05-08,1015428.0045778604,2996.9682807922363,0.0029493763356181666,2.9969682807922364,-0.0006970222473516863,Base FinRL,0
2019-05-09,1013808.8313510729,3008.0465812683105,0.0029623435317000474,3.0080465812683106,-0.0015945721602002028,Base FinRL,0
2019-05-10,1015011.773403662,3071.9702377319336,0.003030127715141335,3.0719702377319336,0.0011865570859015406,Base FinRL,0
