condition,year,metric,n_seeds,mean,standard_deviation,ci95_lower,ci95_upper,minimum,maximum
ANN signal,2019,period_return,3,0.15691111232516816,0.04237177241326752,0.051645299164522915,0.2621769254858134,0.10935939876698075,0.1906615869266053
ANN signal,2019,sharpe,3,1.7649271832944622,0.8697992596382451,-0.3959483509958528,3.9258027175847774,0.7609497128507793,2.2908466769323494
ANN signal,2019,max_drawdown,3,-0.07861197933751607,0.05521473174838228,-0.21578404708232496,0.05856008840729282,-0.14132810544401353,-0.03732002245096888
ANN signal,2019,annualized_turnover,3,1.0324351346228307,0.06702801572753639,0.8659148741228397,1.1989553951228216,0.9551650535727318,1.0749115060701324
ANN signal,2019,total_cost,3,1056.589913946867,63.85086046226007,897.9627816661765,1215.2170462275576,985.5033967132568,1109.0731454818247
ANN signal,2020,period_return,3,0.2585013533817231,0.20596127065997674,-0.25317610075360375,0.7701788075170499,0.08597445854206653,0.48652480196412107
ANN signal,2020,sharpe,3,0.7965089524498067,0.4434895323541454,-0.30526903776887815,1.8982869426684914,0.40975678953434236,1.2805739374932386
ANN signal,2020,max_drawdown,3,-0.2565562762798008,0.039270214597298805,-0.35411677085291227,-0.15899578170668938,-0.29803294172959294,-0.2199461313744253
ANN signal,2020,annualized_turnover,3,0.2913786748822875,0.1528639080137824,-0.08838697246991839,0.6711443222344935,0.15120075369189329,0.4543653597838467
ANN signal,2020,total_cost,3,315.6739651970864,149.12367934704554,-54.79968917048029,686.147619564653,164.58832453918455,462.75501748800275
ANN signal,2021,period_return,3,0.2048239644890498,0.1300138455880887,-0.11817439971644042,0.52782232869454,0.10671430707924245,0.35228850504599096
ANN signal,2021,sharpe,3,1.123769296166011,0.5062856262696569,-0.1340154295004159,2.381554021832438,0.7923022781099684,1.706542788077011
ANN signal,2021,max_drawdown,3,-0.10853326675486448,0.030377749381013636,-0.1840018702249758,-0.03306466328475316,-0.142010787225063,-0.08272536241289086
ANN signal,2021,annualized_turnover,3,0.02206521689166086,0.025272419877107082,-0.04072002142581692,0.08485045520913863,6.839210212449246e-05,0.049670856051564335
ANN signal,2021,total_cost,3,33.504293553034465,40.16542772200679,-66.28021319038123,133.28880029645015,0.11316337108612061,78.07522237205505
ANN signal,2022,period_return,3,-0.0923957445303442,0.13809954009166833,-0.43548170853190427,0.25069021947121584,-0.2422096127834713,0.029822252074315436
ANN signal,2022,sharpe,3,-0.2160921741506272,0.5250539471929978,-1.5205037565929773,1.088319408291723,-0.7840430928527311,0.2516098834980705
ANN signal,2022,max_drawdown,3,-0.20414444165858148,0.07781966668015186,-0.3974748129510399,-0.010814070366123057,-0.2768695524089858,-0.12207418209725762
ANN signal,2022,annualized_turnover,3,0.01420181855846917,0.02003561379511476,-0.03557342231993701,0.06397705943687534,0.0008687618129823569,0.03724204591810049
ANN signal,2022,total_cost,3,23.11508771642049,33.44490756988262,-59.9733740332687,106.20354946610968,1.5503332805633545,61.64242604351043
ANN signal,2023,period_return,3,0.30719930467975703,0.17434005413637127,-0.12592035305232335,0.7403189624118374,0.11795208716961314,0.46126677329246335
ANN signal,2023,sharpe,3,1.7263865060063248,0.7726832454349295,-0.19322000355865776,3.6459930155713076,0.8636678179603929,2.35479088738899
ANN signal,2023,max_drawdown,3,-0.08954536502431121,0.010680397807094455,-0.11607908537656472,-0.06301164467205769,-0.10180376857934348,-0.08224588378048492
ANN signal,2023,annualized_turnover,3,0.0004238512075744731,0.0007341318263684101,-0.001399980538618485,0.0022476829537674313,0.0,0.0012715536227234194
ANN signal,2023,total_cost,3,0.7713728119532268,1.3360569018802622,-2.547844397881508,4.090590021787962,0.0,2.3141184358596805
Base FinRL,2019,period_return,3,0.07998630412453493,0.006490318591325855,0.06386215766391526,0.0961104505851546,0.07271194561233929,0.08518457805871771
Base FinRL,2019,sharpe,3,0.8567385459544018,0.5073915820506959,-0.4037937479155761,2.11727083982438,0.5396966565223807,1.4419438562088496
Base FinRL,2019,max_drawdown,3,-0.1214141765254989,0.0801868343251275,-0.3206253928438762,0.07779703979287839,-0.17455335991435594,-0.029178011975015905
Base FinRL,2019,annualized_turnover,3,0.98920546993315,0.050161639897930155,0.8645869913425847,1.1138239485237151,0.9337428795858191,1.031397606065167
Base FinRL,2019,total_cost,3,1013.2380752352079,53.95767503617187,879.1889615105722,1147.2871889598437,954.9523044528961,1061.4468303558826
Base FinRL,2020,period_return,3,0.35480513792754365,0.13544821806137905,0.018305954548399672,0.6913043213066876,0.2025734546407536,0.46199115383430134
Base FinRL,2020,sharpe,3,1.0646091083108218,0.26436132822862685,0.40784615978943706,1.7213720568322066,0.7656777018269356,1.2676184622125581
Base FinRL,2020,max_drawdown,3,-0.2310618352476023,0.03587257887466609,-0.32018145357701433,-0.14194221691819028,-0.2689817120926662,-0.19766568817596408
Base FinRL,2020,annualized_turnover,3,0.29010246477326795,0.4390693048865474,-0.8006941854581846,1.3808991150047205,0.034836719407042735,0.7970919031376997
Base FinRL,2020,total_cost,3,315.2524413239161,475.94965661253667,-867.167475836801,1497.6723584846334,38.10619440221787,864.8250100307465
Base FinRL,2021,period_return,3,0.18361463625124474,0.07111264905357088,0.00694676511239703,0.3602825073900925,0.10428918761691941,0.24165162938756302
Base FinRL,2021,sharpe,3,0.9845320844022322,0.25742831245036557,0.3449930918776879,1.6240710769267763,0.7337588585809747,1.2481356570516842
Base FinRL,2021,max_drawdown,3,-0.10525441169762247,0.0252373201686527,-0.167952450468286,-0.04255637292695892,-0.13435429898310547,-0.08935548722691378
Base FinRL,2021,annualized_turnover,3,0.013082907181279593,0.014248464585056913,-0.02231509779731384,0.048480912159873026,0.0015448877809838013,0.02900939315609432
Base FinRL,2021,total_cost,3,18.696272009213768,18.953397757814994,-28.390378218068737,65.78292223649628,2.409802791595459,39.500252128601076
Base FinRL,2022,period_return,3,-0.27714984367459095,0.062004803918177295,-0.43119074714809197,-0.12310894020108992,-0.33651150095761484,-0.21280287965009714
Base FinRL,2022,sharpe,3,-0.8541080962254376,0.07042853892752635,-1.0290764064394522,-0.679139786011423,-0.9353892919148784,-0.8111861575606666
Base FinRL,2022,max_drawdown,3,-0.3844996732908412,0.09696692656645804,-0.6253983139035396,-0.14360103267814284,-0.46596299277601827,-0.27724447988093426
Base FinRL,2022,annualized_turnover,3,0.014991831268829527,0.02202067032055225,-0.039714961381401834,0.06969862391906088,0.00030973103146595776,0.04031167085820308
Base FinRL,2022,total_cost,3,17.202339455922445,24.66802873978143,-44.08138686632543,78.48606577817033,0.4813392639160156,45.5332615890503
Base FinRL,2023,period_return,3,0.3839606473528044,0.12703298280097003,0.06836775446312116,0.6995535402424876,0.24838514175487103,0.5002441776041442
Base FinRL,2023,sharpe,3,1.870461363050407,0.28711749330238107,1.1571644041613902,2.583758321939424,1.545468785913077,2.0897143566368084
Base FinRL,2023,max_drawdown,3,-0.11815802051960274,0.01632936846335016,-0.15872569451088753,-0.07759034652831795,-0.13700206688615824,-0.10816616243638921
Base FinRL,2023,annualized_turnover,3,0.008901274946657477,0.012894400778960563,-0.023132777581943584,0.040935327475258534,0.0011902925320276367,0.02378723006531406
Base FinRL,2023,total_cost,3,10.995094270706177,15.040165483180258,-26.369763498658692,48.35995204007104,1.9376920318603514,28.35653384590149
QINN-MPS signal,2019,period_return,3,0.14847114317132415,0.04611640299062194,0.03390240119130285,0.26303988515134546,0.0954590024282429,0.17933695266008876
QINN-MPS signal,2019,sharpe,3,1.5112744878925286,0.7874987384030744,-0.44513871692835627,3.4676876927134135,0.6452986591594728,2.1845094855379315
QINN-MPS signal,2019,max_drawdown,3,-0.09217508789215208,0.06408675075561124,-0.2513882514415874,0.06703807565728322,-0.16540402292829592,-0.046327315033304006
QINN-MPS signal,2019,annualized_turnover,3,0.9950555884789883,0.018796459704580302,0.9483588254536967,1.0417523515042801,0.9766458870734029,1.0142162951491904
QINN-MPS signal,2019,total_cost,3,1012.4373682203292,10.753632264898625,985.721708706387,1039.1530277342713,1004.8193983170986,1024.7384381811619
QINN-MPS signal,2020,period_return,3,0.2627950391266838,0.08803419553574973,0.04408832351824618,0.48150175473512136,0.1622263373044215,0.3259040437939711
QINN-MPS signal,2020,sharpe,3,0.8335209226083519,0.18834018521878101,0.3656202043067111,1.3014216409099926,0.6161558845374183,0.9482329968978128
QINN-MPS signal,2020,max_drawdown,3,-0.23748682771846594,0.04337750986821272,-0.34525123286597303,-0.12972242257095884,-0.2872878899153819,-0.2079495935444302
QINN-MPS signal,2020,annualized_turnover,3,0.18627291351043893,0.06676185597436371,0.02041388385477269,0.3521319431661052,0.11330617081229215,0.24429778569298533
QINN-MPS signal,2020,total_cost,3,206.96057449038824,75.223432183581,20.080127755526973,393.8410212252495,130.25237564897537,280.6056631627083
QINN-MPS signal,2021,period_return,3,0.18700854218629148,0.11522219477718168,-0.09924235874549114,0.4732594431180741,0.09925695462952078,0.31749206269977015
QINN-MPS signal,2021,sharpe,3,1.0357559376156982,0.4047238162224628,0.030285097155954066,2.0412267780754423,0.7134905641972817,1.4899929389285818
QINN-MPS signal,2021,max_drawdown,3,-0.09914394861725011,0.026318223510825647,-0.1645273168603779,-0.03376058037412233,-0.1261968302401394,-0.0736277169114975
QINN-MPS signal,2021,annualized_turnover,3,0.017088995708167985,0.015709894613479932,-0.02193969572882727,0.05611768714516324,0.003434225662684818,0.03425858697621224
QINN-MPS signal,2021,total_cost,3,26.8774708070755,25.88941745264794,-37.44059816176106,91.19553977591205,4.682376729011536,55.31846863269806
QINN-MPS signal,2022,period_return,3,-0.1578504928372031,0.06901442487220703,-0.32930566547266144,0.013604679798255248,-0.23487232511085177,-0.10162746628549713
QINN-MPS signal,2022,sharpe,3,-0.5191060837388561,0.1611018318545098,-0.9193375200458358,-0.11887464743187653,-0.7003579696264086,-0.39222251230764293
QINN-MPS signal,2022,max_drawdown,3,-0.26195839989861175,0.07059824175803266,-0.43734830933851376,-0.08656849045870976,-0.3421267717628331,-0.2090724229275266
QINN-MPS signal,2022,annualized_turnover,3,0.0015791459320686283,0.001537195888531788,-0.002239768547487854,0.00539806041162511,0.0,0.003070641111487275
QINN-MPS signal,2022,total_cost,3,2.685938689231873,2.628215019212444,-3.843436302685864,9.21531368114961,0.0,5.2523516187667845
QINN-MPS signal,2023,period_return,3,0.34549711415796813,0.11739162259054434,0.053856620819250134,0.6371376074966861,0.23376201486356063,0.46782701212128597
QINN-MPS signal,2023,sharpe,3,1.9308157111456479,0.41669614735350585,0.8956015510143591,2.9660298712769366,1.4822094163170858,2.305783962015894
QINN-MPS signal,2023,max_drawdown,3,-0.08693243041471228,0.01851677334347449,-0.13293435792676203,-0.040930502902662536,-0.10388701898405239,-0.0671734102032654
QINN-MPS signal,2023,annualized_turnover,3,0.0024714003508464065,0.004231999166295743,-0.00804231687557302,0.012985117577265832,0.0,0.007357984278582884
QINN-MPS signal,2023,total_cost,3,4.651060763676961,7.966164366945441,-15.139585746906482,24.441707274260402,0.0,13.849399890899658
