total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,total_cost,trade_count,gross_traded_notional,cumulative_turnover,average_daily_turnover,annualized_turnover,condition,seed,state_features_per_asset,ppo_timesteps,vix_train_75pct_threshold,high_vix_mean_daily_return,high_vix_daily_volatility,low_vix_mean_daily_return,monthly_positive_frequency,monthly_outperformance_frequency
0.39994069314400993,0.06983053912375836,0.2014910255411397,0.4357489272871217,0.5529204428814288,-0.27937405130277504,0.2499535615356011,1933.1673620472002,10116,1933167.3620471954,1.8266629916526682,0.0014543495156470287,0.3664960779430512,Base FinRL,0,10,5000,16.09000015258789,8.711451554447394e-05,0.014448553051828383,0.0010854406949559912,0.6440677966101694,0.3050847457627119
0.8945774640625821,0.13678735184168822,0.2534181145844903,0.6331351902058092,0.7928390855495526,-0.43876986333897283,0.311751930273326,1110.2463019988543,9446,1110246.3019988537,1.0775161271343547,0.0008578950056802188,0.21618954143141514,Base FinRL,1,10,5000,16.09000015258789,6.93350317515475e-05,0.017782925621982706,0.0022370414196672757,0.6271186440677966,0.423728813559322
0.9028117560602282,0.13777693186673656,0.2746520714018092,0.607975604730015,0.7837396471461423,-0.4956731535861959,0.2779592375942096,1082.7390028388513,12354,1082739.00283885,1.047629949435203,0.0008341002782127413,0.2101932701096108,Base FinRL,2,10,5000,16.09000015258789,9.189696171950284e-05,0.01900624194680104,0.0022724636396440965,0.6101694915254238,0.4406779661016949
1.2266875962196737,0.17423033848796265,0.23934571262242932,0.7904048291116398,1.0407040930437959,-0.2768695524089859,0.6292867416153917,1306.8454469289752,7197,1306845.446928978,1.2257344248072075,0.0009759032044643371,0.24592760752501297,ANN signal,0,11,5000,16.09000015258789,0.00043167908068412434,0.017128175821206945,0.001650607007912862,0.6440677966101694,0.4576271186440678
1.2656285441411144,0.17832197304892672,0.2367643654430344,0.8117565976412721,1.0191873908797249,-0.2980329417295927,0.5983297417193547,1679.9799839849456,11980,1679979.9839849472,1.6114187733042333,0.0012829767303377654,0.3233101360451169,ANN signal,1,11,5000,16.09000015258789,0.0003701791351495743,0.016710462826347448,0.0018697899851524548,0.6610169491525424,0.4406779661016949
0.6475133439166347,0.10536038479668752,0.19900298746387526,0.6023175951258246,0.7831179216329063,-0.2516897557353843,0.41861213019515525,1302.1384687621594,9631,1302138.4687621593,1.2476454773139438,0.000993348309963331,0.2503237741107594,ANN signal,2,11,5000,16.09000015258789,0.00012186752663001378,0.014085836209738887,0.0014735410302788164,0.5932203389830508,0.4067796610169492
1.0213040299127658,0.15165128949527396,0.21705510216917007,0.758644112354072,1.0074999862563536,-0.20907242292752637,0.7253529058102651,1198.6812464632999,8668,1198681.2464632988,1.12777427607822,0.0008979094554762897,0.226273182780025,QINN-MPS signal,0,11,5000,16.09000015258789,0.0003464841999754903,0.015471432112480539,0.0015192711572353291,0.6440677966101694,0.4406779661016949
1.1491415361904527,0.1659089531990494,0.25714252445403424,0.7259512048010708,0.9181549909653915,-0.3577239109630025,0.46379050467277405,1272.0485542399929,10387,1272048.5542399883,1.2387342966658268,0.0009862534209122825,0.2485358620698952,QINN-MPS signal,1,11,5000,16.09000015258789,0.0002707466647628292,0.018055584407238253,0.002066533208309192,0.6440677966101694,0.4576271186440678
0.6576498479787101,0.10672154332043404,0.20532536976894494,0.5962484521261298,0.7841490538808452,-0.23701917726052268,0.45026543655212203,1290.1074382088157,10098,1290107.4382088184,1.2430060302275534,0.0009896544826652495,0.2493929296316429,QINN-MPS signal,2,11,5000,16.09000015258789,4.657829145661358e-05,0.014479312524320323,0.0017247494692209343,0.559322033898305,0.3389830508474576
2.1825168923493123,0.2614626017405166,0.23271091666130175,1.114550231833473,1.4068242910818218,-0.28539406812758716,0.9161458871795056,1000.0,15,1000000.0,1.0,0.0007961783439490446,0.20063694267515925,Equal-weight buy-and-hold,-1,0,0,16.09000015258789,0.00047590115361995924,0.01652881675796923,0.00259001837585816,0.711864406779661,0.0
