bond_dimension,seed,mps_minus_ann_sharpe,mps_minus_ann_annual_return
2,0,-0.13222744122653418,-0.028656002192175803
2,1,-0.040287217708374734,-0.008819791559888907
2,2,0.03717294074437971,0.017797825906784998
4,0,-0.05554653344817084,-0.014701658887305707
4,1,-0.08049560756048235,0.007696934947731576
4,2,0.056147700184162264,0.06516974438719589
8,0,-0.0030521197592932037,-0.009756825798773405
8,1,-0.15482360484445656,-0.020673010706851402
8,2,0.020287832001932182,0.0557203322955768
