window,observations,negative_day_fraction,negative_day_effect,negative_day_contribution,nonnegative_day_fraction,nonnegative_day_effect,nonnegative_day_contribution,reconciled_full_window_annualized_mean_difference,negative_offset_fraction_of_nonnegative_contribution
2017-2018,501,0.4091816367265469,-0.0663208805795967,-0.027137286464705236,0.5908183632734532,0.0855875091053432,0.05056667204627064,0.023429385581565404,0.5366634853856602
2019-2020,505,0.4158415841584158,-0.0055916029912134345,-0.002325221045851131,0.5841584158415842,0.04989335460978215,0.029145622989872746,0.026820401944021615,0.07977942508413965
2021-2022,503,0.4870775347912525,-0.021455850894808233,-0.010450662960691883,0.5129224652087475,0.09940572354769676,0.05098742877794387,0.04053676581725199,0.204965482888061
