system,initial_equity,final_equity,total_return_pct,maximum_drawdown_pct,trade_count,cumulative_turnover_multiple,modeled_cost_pct_initial,invested_day_fraction,decision_days
selected_mps_trend,1000.0,973.205049,-2.6794950999999956,-2.8766035366800335,6,1.673951,0.1673951,0.2631578947368421,19
matched_ann_trend,1000.0,973.205049,-2.6794950999999956,-2.8766035366800335,6,1.673951,0.1673951,0.2631578947368421,19
mps_only_rank,1000.0,949.5218114999999,-5.047818850000008,-5.047818850000008,17,4.2696885,0.42696884999999996,0.9473684210526315,19
trend_only,1000.0,975.655935,-2.434406499999997,-2.434406499999997,6,1.6390649999999998,0.1639065,0.2631578947368421,19
fixed_initial_trend_basket,1000.0,990.923065,-0.9076935000000064,-1.6202643202115286,3,0.8669349999999999,0.0866935,0.9473684210526315,19
cash,1000.0,1000.0,0.0,0.0,0,0.0,0.0,0.0,19
