seed,mps_minus_ann_annual_return,mps_minus_ann_sharpe,mps_minus_ann_max_drawdown,mps_minus_ann_annualized_turnover,mps_minus_ann_total_cost
0,0.0007247436497615223,0.018965178345249245,-0.016017428396227495,0.11889233687991763,272.10473967647863
1,0.0422073920489288,0.2787446382982896,0.03533200822094881,0.07843449671151254,131.67685280585545
2,0.009086568945006604,0.008746971148104077,-0.025738199483856,-0.17507850680473236,-433.22936680102237
3,0.002018760715152501,0.017656022693693874,0.003171163564918006,-0.010968651547125563,-32.29697425174527
4,-0.04332335949730219,-0.11593513199385785,0.014052588412279687,0.1233925569033335,260.19044357728694
5,0.13963587555154788,0.47434588785669507,-0.0526543916939079,0.002002592642610379,-36.825935947891594
6,0.006971256698638406,0.024034688205629262,0.00114286862461771,0.01523281593356951,19.69546046543053
7,0.004931982659202708,0.021855970680328185,-0.009654294167065397,0.010827757646707403,12.591942486521702
8,0.037365511820278904,0.12263868499256692,0.01430928295918829,0.013225416648515842,25.2457356252678
9,0.0257179182577911,0.0114018974532335,-0.032233877283811385,0.05130178013119879,193.17336103248795
