condition,n_seeds,annual_return_mean,annual_return_std,annual_return_median,sharpe_mean,sharpe_std,sharpe_median,max_drawdown_mean,max_drawdown_std,max_drawdown_median,annualized_turnover_mean,annualized_turnover_std,annualized_turnover_median,total_cost_mean,total_cost_std,total_cost_median
Base FinRL,10,0.10728713045901825,0.07558059511392944,0.09210417580153249,0.652457738470061,0.2657840007071167,0.6043588369199939,-0.2149845527289361,0.07633257323143397,-0.20404393258604525,0.5280069670938923,0.04473348222591181,0.5104948366223783,1084.6017776638982,128.5089408582016,1035.3622174763677
ANN signal,10,0.09360450842037224,0.050295740263448914,0.1060638435101114,0.6274637144159894,0.2647065052613768,0.7567718976209469,-0.23043598514191763,0.04844161394630475,-0.2195707218844421,0.55709582110415,0.08396529046730615,0.5241842861620789,1179.1672454179761,212.44418328896066,1081.6043466390374
QINN-MPS signal,10,0.11613817350527286,0.04595728288809824,0.11427405037842515,0.7137091951839826,0.17520658053593105,0.7744901904503783,-0.2372650130662092,0.06613386555620047,-0.22458840649380066,0.5798220806187008,0.10276640661822156,0.5371722048968472,1220.3998712848431,273.4206214709318,1106.959386614085
