split,model,parameter_count,mse,mae,directional_accuracy,information_coefficient
validation_2016,ANN,369,1.3558569822061224,0.6718255882121551,0.5216467463479416,0.024277792685300732
validation_2016,QINN-MPS,97,1.350851019872987,0.6693823640450167,0.5317397078353253,0.02222476108323271
test_2017_2018,ANN,369,1.0174808707249379,0.6415167816883508,0.5096473719228211,0.0017817747436677904
test_2017_2018,QINN-MPS,97,1.006685629279959,0.6382088195322541,0.5108449767132401,0.020190606390040153
