condition,year,metric,n_seeds,mean,standard_deviation,ci95_lower,ci95_upper,minimum,maximum
ANN signal,2017,period_return,10,0.14820041208356718,0.06269178526159339,0.10335652628317436,0.19304429788396,0.0428942285895233,0.23169814770336927
ANN signal,2017,sharpe,10,1.8614702872322593,0.4407869176786868,1.5461722283843529,2.1767683460801655,1.315371963980614,2.5419108606327536
ANN signal,2017,max_drawdown,10,-0.049749348906325354,0.03368130867542675,-0.07384183173395872,-0.025656866078691987,-0.10674182013404088,-0.013829928134897918
ANN signal,2017,annualized_turnover,10,0.9023986506269356,0.23169420546681505,0.7366661156989212,1.06813118555495,0.36816628306040927,1.036620539794482
ANN signal,2017,total_cost,10,920.0385280964135,238.8989413783671,749.1523936482788,1090.9246625445483,370.16483603405953,1060.1445621302128
ANN signal,2018,period_return,10,0.0411920125824929,0.060928760224955046,-0.0023907687035469444,0.08477479386853275,-0.07577408916824746,0.12141043571876842
ANN signal,2018,sharpe,10,0.2821766822295835,0.297052375851771,0.06969297700651708,0.49466038745264984,-0.31068163550226485,0.6684433187015292
ANN signal,2018,max_drawdown,10,-0.23043598514191738,0.04844161394630502,-0.26508662070334604,-0.19578534958048868,-0.3252188257345553,-0.17171340394219226
ANN signal,2018,annualized_turnover,10,0.20818339697885668,0.21559714030577137,0.053965208767740636,0.36240158518997273,0.0013409715487509217,0.5390086930465386
ANN signal,2018,total_cost,10,259.1287173215628,259.5867756665029,73.44442591548682,444.8130087276388,1.8595402603149416,597.1122571132184
Base FinRL,2017,period_return,10,0.1521577810551978,0.0873483250326838,0.089676894663517,0.21463866744687862,0.03983178534365095,0.2869911809468575
Base FinRL,2017,sharpe,10,1.714739205386714,0.5764031287043465,1.3024338934427249,2.1270445173307033,0.8009387209419337,2.5088300957595853
Base FinRL,2017,max_drawdown,10,-0.058705656565594934,0.030255647095391934,-0.08034773897721102,-0.037063574153978845,-0.10164082612208081,-0.017601253326464783
Base FinRL,2017,annualized_turnover,10,0.901087606231146,0.1781106428269975,0.7736837798216661,1.0284914326406258,0.4839418629476793,1.009237491261606
Base FinRL,2017,total_cost,10,912.2412812844277,179.55065271934166,783.8074054211914,1040.6751571476639,492.3010327746868,1027.8440805282594
Base FinRL,2018,period_return,10,0.06479217094644131,0.09647572239138812,-0.00421760855460987,0.1338019504474925,-0.046228566433548,0.25887309583022633
Base FinRL,2018,sharpe,10,0.3423683978954305,0.3630154334806229,0.0827008421724943,0.6020359536183667,-0.2489353427808107,0.8170298419463152
Base FinRL,2018,max_drawdown,10,-0.21498455272893616,0.07633257323143382,-0.26958579246963293,-0.1603833129882394,-0.34708311928173974,-0.1321595155936317
Base FinRL,2018,annualized_turnover,10,0.15132197753171373,0.25519147815266646,-0.03121832588699225,0.3338622809504197,0.0,0.8005513053421193
Base FinRL,2018,total_cost,10,172.36049637947082,295.02662253062084,-38.67417289391943,383.39516565286107,0.0,936.6773803741933
QINN-MPS signal,2017,period_return,10,0.14345526240930695,0.05143340410051303,0.10666457778954916,0.18024594702906474,0.07903529359906591,0.21577547941675213
QINN-MPS signal,2017,sharpe,10,1.7376257292748527,0.5096862614021458,1.3730434733225827,2.102207985227123,0.9096807459154324,2.559711598742081
QINN-MPS signal,2017,max_drawdown,10,-0.04841753690726175,0.024103489590665623,-0.06565893671880851,-0.031176137095714984,-0.09651482130604105,-0.017809998384946457
QINN-MPS signal,2017,annualized_turnover,10,1.0142231505317474,0.05598735390919147,0.9741749927947548,1.05427130826874,0.9041286095637165,1.1179947724815436
QINN-MPS signal,2017,total_cost,10,1035.657967804718,59.12439414827786,993.3658625769046,1077.9500730325315,924.2812688732147,1146.5650537362098
QINN-MPS signal,2018,period_return,10,0.09086882474935815,0.09738223505878552,0.021210610204325492,0.1605270392943908,-0.0848428740919881,0.2606077529596347
QINN-MPS signal,2018,sharpe,10,0.44076789043403436,0.37208602952738556,0.1746120719895114,0.7069237088785574,-0.38113715566116885,0.8218559496588771
QINN-MPS signal,2018,max_drawdown,10,-0.23726501306620928,0.06613386555620025,-0.284571043707478,-0.18995898242494055,-0.35745270301836596,-0.15275765672006925
QINN-MPS signal,2018,annualized_turnover,10,0.14136411810352717,0.17124339758363122,0.018872481707010128,0.2638557545000442,0.003142245896202722,0.4995350012132199
QINN-MPS signal,2018,total_cost,10,184.74190348012445,233.82447248628608,17.485573200822984,351.99823375942594,3.667683647394181,632.6091942176819
