horizon_years,end_year,end_date,condition,n_seeds,annual_return_mean,annual_return_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,annualized_turnover_mean,annualized_turnover_std,total_cost_mean,total_cost_std
1,2019,2019-12-31,Base FinRL,10,0.1433815791719795,0.08400285280031021,1.0718848196666493,0.6089927191445992,-0.1366388389515604,0.06990100997685014,1.0688022110988928,0.11189034480271724,1090.26568503809,116.20337381407757
1,2019,2019-12-31,ANN signal,10,0.1987836788011607,0.10058041931582137,1.5485939838361393,0.776630200569562,-0.10055465614020767,0.06067263899980916,1.0721549130007229,0.16081369190683306,1088.5220489084006,156.7151603220536
1,2019,2019-12-31,QINN-MPS signal,10,0.19503939504234746,0.08978576626998165,1.5534201108895043,0.7415850504367192,-0.09697205943738371,0.05058019343994746,1.080238869830065,0.22927908884575324,1101.3463610215426,241.0844440548904
2,2020,2020-12-31,Base FinRL,10,0.2611669728723577,0.06708201116461078,0.9896603549388765,0.20829549502790434,-0.22570922624424056,0.051763657506733396,0.611316688347217,0.18247229386991057,1283.610034130049,428.78030426235097
2,2020,2020-12-31,ANN signal,10,0.27794825649483795,0.059912500361578074,1.086568877824651,0.22664852552605172,-0.21924733553702674,0.03544517870285183,0.6464761934239874,0.14815193635851703,1359.9189160224676,334.1922596309943
2,2020,2020-12-31,QINN-MPS signal,10,0.26660130427988643,0.07989729326637578,1.0239858819245524,0.20482303168680177,-0.23494685580137348,0.03374439805813227,0.6026095605665749,0.14052170879636222,1251.9091038191557,307.9320115678255
3,2021,2021-12-31,Base FinRL,10,0.2528118395422109,0.058321609925182316,1.032302281963242,0.24146813220844,-0.2272954049573339,0.04872006699963929,0.4122078474936606,0.12978658371927648,1307.8876759580137,469.35476802820153
3,2021,2021-12-31,ANN signal,10,0.27724474909811847,0.06985570339347964,1.1683385100128163,0.2834437990576715,-0.21924733553702674,0.03544517870285183,0.43585159639343046,0.10369290571418219,1384.321640425849,358.0929588358301
3,2021,2021-12-31,QINN-MPS signal,10,0.25897997578740156,0.07105768032718429,1.0862272857451745,0.22069607715461512,-0.23494685580137348,0.03374439805813227,0.407004318210941,0.09950073771061095,1280.2160981654883,336.43422187121644
4,2022,2022-12-30,Base FinRL,10,0.09082007295669184,0.05094445730088021,0.48065451647263446,0.1925377998319384,-0.4196074067599388,0.14775457669947553,0.31234129649856807,0.10276230328120041,1325.5846507238869,506.6810265596692
4,2022,2022-12-30,ANN signal,10,0.12085566539375933,0.0597852913926919,0.5968129123929505,0.23219147668066004,-0.340700549459378,0.1266509516977629,0.3390500184216332,0.09319156088550946,1456.7486779636145,445.52823740995495
4,2022,2022-12-30,QINN-MPS signal,10,0.11321175944854392,0.043806133192962476,0.5683638787261989,0.1770344247863476,-0.3197162811439932,0.11173309441969634,0.30833493221387204,0.07430924356053277,1299.5627398704291,336.1142148960508
5,2023,2023-12-28,Base FinRL,10,0.15362932940793333,0.040305738400758497,0.6893901082745599,0.16864462240318262,-0.4196074067599388,0.14775457669947553,0.2508028503795058,0.08249235246757229,1329.5119856033803,507.8010784483749
5,2023,2023-12-28,ANN signal,10,0.1795818223203814,0.04879232495001489,0.8210048315496895,0.2117901388075429,-0.340700549459378,0.1266509516977629,0.27506392220061415,0.08069059525207753,1481.8813236556766,488.55042114897844
5,2023,2023-12-28,QINN-MPS signal,10,0.17038885161255712,0.0455407390805597,0.78439743209746,0.17369176883346812,-0.3197162811439932,0.11173309441969634,0.24865895448761138,0.05890902985731705,1313.0471358482123,330.70364173794263
