horizon_years,end_year,start_date,end_date,condition,seed,observations,trading_steps,total_return,annual_return,annual_volatility,sharpe,max_drawdown,gross_traded_notional,cumulative_turnover,annualized_turnover,total_cost
1,2019,2019-01-02,2019-12-31,ANN signal,0,252,251,0.08663857905276107,0.08699835085595131,0.1880209932310349,0.5360011895397739,-0.18951831618144677,1006634.3375892639,0.9898782153383372,0.9938219532480516,1006.6343375892639
1,2019,2019-01-02,2019-12-31,ANN signal,1,252,251,0.2306181781070875,0.23163602403863814,0.13934446042938273,1.5595194347745065,-0.0798027470549898,1009901.039535284,1.0056616502672877,1.0096682703878745,1009.9010395352841
1,2019,2019-01-02,2019-12-31,ANN signal,2,252,251,0.1489149603611004,0.14955055466697353,0.06878342110650619,2.052965726433004,-0.03521484497416516,912216.1900012493,0.8766443910453232,0.880136998180962,912.2161900012493
1,2019,2019-01-02,2019-12-31,ANN signal,3,252,251,0.20509749877942363,0.20599354314315632,0.14218960696682384,1.3836414146879399,-0.10556109910733535,1013768.7338523865,0.990210014563028,0.9941550743820042,1013.7687338523865
1,2019,2019-01-02,2019-12-31,ANN signal,4,252,251,0.1174642441008098,0.11795880717675455,0.14457175053157412,0.84053307313431,-0.12527374894274912,1466922.6868143082,1.4502312642655828,1.4560090780674375,1466.9226868143082
1,2019,2019-01-02,2019-12-31,ANN signal,5,252,251,0.26788053620084873,0.26908001630251954,0.12166168541793786,2.0124503703407624,-0.06931553726708728,1066878.108412981,1.0610941995262217,1.0653216664566052,1066.878108412981
1,2019,2019-01-02,2019-12-31,ANN signal,6,252,251,0.2977617148027505,0.2991100240557445,0.11223182149340244,2.379445136459838,-0.05869514921970942,1117744.261733532,1.0623730348355223,1.0666055967272972,1117.744261733532
1,2019,2019-01-02,2019-12-31,ANN signal,7,252,251,0.0284666460850429,0.028581664588625877,0.19314729304675335,0.24213228459840144,-0.2192531119952218,1230528.4876630306,1.225725783022921,1.2306091526763985,1230.5284876630308
1,2019,2019-01-02,2019-12-31,ANN signal,8,252,251,0.2524310255398847,0.2535546579427159,0.111378674861974,2.0774401116875483,-0.06305678964615069,1026685.8045957088,1.0167335539593827,1.0207842852500575,1026.6858045957088
1,2019,2019-01-02,2019-12-31,ANN signal,9,252,251,0.343790213132785,0.3453731452405273,0.12641530234276313,2.401811096705308,-0.059855217013221385,1033940.838886261,1.0004511933026403,1.0044370546305392,1033.940838886261
1,2019,2019-01-02,2019-12-31,Base FinRL,0,252,251,-0.01184585179294495,-0.011892764667335687,0.2255598076859347,0.06034861734221285,-0.25608686203365105,1222631.7950611115,1.2027762939667037,1.2075682313928657,1222.6317950611117
