horizon_years,end_year,metric,n_matched_seeds,mean_difference,standard_deviation,median_difference,positive_seeds,negative_seeds,zero_seeds,paired_seed_bootstrap_95pct_lower,paired_seed_bootstrap_95pct_upper
1,2019,annual_return,10,-0.003744283758813238,0.11259884892147301,-0.024273836727659148,3,7,0,-0.06607359650986926,0.06748422047088129
1,2019,sharpe,10,0.0048261270533650254,0.8225786741853632,-0.17974705803427868,4,6,0,-0.4648500029012523,0.5090616782470435
1,2019,max_drawdown,10,0.0035825967028239704,0.05890399679939715,-0.006406638647438512,3,7,0,-0.02792339323151539,0.042637451144802614
1,2019,annualized_turnover,10,0.008083956829342076,0.13361352555283323,-0.006071825099738637,4,6,0,-0.07177156940147782,0.08632908053321932
1,2019,total_cost,10,12.824312113142025,140.48393598146072,-9.663651788472976,4,6,0,-66.93803026536945,99.37925507211268
2,2020,annual_return,10,-0.011346952214951434,0.06253230024768582,-0.028437340325406235,2,8,0,-0.042930745995546166,0.02985198784617723
2,2020,sharpe,10,-0.06258299590009872,0.17901728509892817,-0.08919823680371347,2,8,0,-0.15588966626633383,0.05224814077720696
2,2020,max_drawdown,10,-0.015699520264346734,0.03762574816806066,-0.027263770287443645,2,8,0,-0.03476867225179748,0.009106590749155957
2,2020,annualized_turnover,10,-0.043866632857412546,0.11348154466515727,-0.01424446112560726,4,6,0,-0.11618794444819382,0.014339175060015258
2,2020,total_cost,10,-108.00981220331187,249.41306415090074,-32.69688141870478,3,7,0,-269.17569804954525,22.51304650689429
3,2021,annual_return,10,-0.018264773310716898,0.05918221557210048,-0.02430135854101434,2,8,0,-0.050743115842201474,0.018810258590304448
3,2021,sharpe,10,-0.08211122426764186,0.1958341777691632,-0.09422201728777746,3,7,0,-0.19442272404933125,0.035542374062515564
3,2021,max_drawdown,10,-0.015699520264346734,0.03762574816806066,-0.027263770287443645,2,8,0,-0.03476867225179748,0.009106590749155957
3,2021,annualized_turnover,10,-0.0288472781824894,0.08200993232435035,-0.008460814119516769,4,6,0,-0.08145191965026213,0.01330595159166289
3,2021,total_cost,10,-104.10554226036068,280.74244294930236,-19.11298434793929,4,6,0,-282.53285408050056,42.296332489909595
4,2022,annual_return,10,-0.007643905945215424,0.03877004848728104,-0.01763200054894054,3,7,0,-0.0294471086979227,0.016282708975269653
4,2022,sharpe,10,-0.02844903366675155,0.13940206277266248,-0.05970186963612259,3,7,0,-0.10898791926763288,0.055581907572969075
4,2022,max_drawdown,10,0.020984268315384736,0.0729536058420749,0.005544218413521151,5,5,0,-0.021007940564580947,0.06457526104855267
4,2022,annualized_turnover,10,-0.030715086207761193,0.07469776240983542,-0.007595916612144316,3,7,0,-0.07853828608074696,0.006596359762757681
4,2022,total_cost,10,-157.18593809318537,346.87994743344876,-30.871193879365933,3,7,0,-381.3562924267,19.323955510142483
5,2023,annual_return,10,-0.009192970707824277,0.038883687783013376,-0.013778215545373729,3,7,0,-0.029993055547008672,0.015376716963295206
5,2023,sharpe,10,-0.03660739945222944,0.13418785905217678,-0.08689264028490234,3,7,0,-0.11285747038011809,0.0448000135794666
5,2023,max_drawdown,10,0.020984268315384736,0.0729536058420749,0.005544218413521151,5,5,0,-0.021007940564580947,0.06457526104855267
5,2023,annualized_turnover,10,-0.026404967713002776,0.05963016448215406,-0.003557263155518686,2,8,0,-0.06471451874668702,0.003717239483023504
5,2023,total_cost,10,-168.8341878074646,345.9165132997273,-24.912726378917682,3,7,0,-390.58067769975827,12.982393364173817
