horizon_years,seed,mps_minus_ann_annual_return,mps_minus_ann_sharpe,mps_minus_ann_max_drawdown,mps_minus_ann_annualized_turnover,mps_minus_ann_total_cost
1,0,-0.03268880210283154,-0.1605341493465739,-0.0063904283060789435,0.011668656887654394,8.772660592079205
1,1,-0.026894693313450624,-0.20809284207289003,-0.017313330382621617,-0.014444369668245027,-10.914526286840328
1,2,-0.0007755340621646845,-0.19895996672198346,-0.00642284898879808,0.09981960065781681,103.5743872959614
1,3,-0.04895404522533453,-0.4752984942614953,-0.052939155394110426,-0.007231064142461663,-11.417503593444849
1,4,0.06536634006073605,0.8014367344059475,0.057958908583232494,0.2692258244613819,311.03996048045155
1,5,-0.19447487197990587,-1.4268032654698155,-0.07010830025820769,-0.050167526199498935,-42.772799420356705
1,6,0.023516618563073743,0.19161282822073877,0.0013020573592551488,-0.07073192160264219,-107.88839194536217
1,7,0.25304891122644335,1.7272672827683004,0.14081849869115437,-0.24842630701645774,-217.27149061155342
1,8,-0.021652980141867673,-0.23659780907439876,-0.004170285173749844,-0.004912586057015611,-8.412777290105623
1,9,-0.053933780612830606,0.03423095208582039,-0.00690914910183571,0.09603926097288884,103.53360191059119
2,0,-0.02229651080701678,-0.06990535413676136,-0.0079565654206456,0.02727473565349048,52.343087525367764
2,1,-0.004165606339816996,-0.0616908885524996,-0.03354912009765332,-0.015395257491587377,-29.96952001404736
2,2,-0.05699978363529068,-0.066300443051444,0.07529885173798112,-0.19036304394652337,-508.91266554379445
2,3,-0.026297007748045553,-0.14026977822382491,0.0159405673983245,0.026291552553787678,43.92923364448552
2,4,0.05060466527370622,0.1236711317657837,-0.03680850723378093,0.008937914186943785,-0.07232733416594783
2,5,-0.038543503138348534,-0.10849111947066559,-0.04019045875650651,-0.020013875003105697,-37.9112310624123
2,6,-0.030577672902766917,-0.1545053823910576,-0.035456618616878544,-0.03418569481479,-104.48173181056973
2,7,0.13879725185839464,0.3476680801043368,-0.017416319495827448,-0.3003327094335888,-612.3821409420968
2,8,-0.055209559684300746,-0.24624687532975753,-0.05587861168124664,-0.013093664759627144,-35.42424282336219
2,9,-0.06878179502602899,-0.24975932971509707,-0.020978420477233972,0.07221371448087499,152.78341632747674
3,0,-0.01857512892489699,-0.06885795550473561,-0.0079565654206456,0.014925979942186696,36.356557538032575
3,1,-0.004933074569056783,-0.07179642047668922,-0.03354912009765332,-0.010263504994391659,-29.96952001404736
3,2,-0.03002758815713169,0.0855988943007977,0.07529885173798112,-0.13410244131143884,-541.9902813904284
3,3,-0.014580914912672993,-0.1166476140988657,0.0159405673983245,0.016748215656322785,39.595463056564085
3,4,0.052967380634255434,0.13742383490549837,-0.03680850723378093,0.01865684183002525,67.6353019716737
3,5,-0.03593608285536809,-0.12393666572130846,-0.04019045875650651,-0.013322069303376094,-37.82545957994466
3,6,-0.07468032815920367,-0.28351787893831504,-0.035456618616878544,-0.006658123244641878,-8.256448681831216
3,7,0.10303261320957713,0.2557486964489344,-0.017416319495827448,-0.21558809494872233,-690.0210857663153
3,8,-0.06772938529653572,-0.3209656767666751,-0.05587861168124664,-0.013831417645398247,-61.51021247935273
3,9,-0.09218522407613561,-0.3141614568250599,-0.020978420477233972,0.05496183219454032,184.9302627420425
4,0,-0.020682533708733075,-0.06158330343886903,-0.022400222362726208,0.01129648363386715,36.68186563777908
4,1,-0.005777152828158494,-0.04625718049033756,-0.03354912009765332,-0.0077052728657001635,-29.96952001404736
4,2,0.02371352009188321,0.1560393391168533,0.1456264142558582,-0.12176541291165449,-673.6950081779955
4,3,-0.027795218025053803,-0.12829732729534182,-0.07928874482282311,-0.0010925788680914983,-74.45284054756144
4,4,0.03697654756584878,0.11988641447299803,0.09543399201479386,0.0037741905197693493,23.825082514047153
4,5,-0.05871061584748705,-0.2448904586162911,-0.043762118407629114,-0.008464010231641228,-30.19846751642217
4,6,-0.03442555383471646,-0.10261465145010107,0.0679993223298141,-0.007486560358588468,-31.543920242309696
4,7,0.06625365868930766,0.19010269820975018,0.03348865918976851,-0.20696021750172477,-913.2712420763969
4,8,-0.014581467389148006,-0.05782043583337615,-0.028537482347963494,-0.008603384899946886,-50.34827668452249
4,9,-0.041410244165897,-0.10905543134280027,0.07483198340240793,0.03985590140609907,171.11294617557542
5,0,-0.011513986701045642,-0.04380158061320416,-0.022400222362726208,0.009056973741484203,36.68186563777931
5,1,-0.011197464547810343,-0.07777212016034107,-0.03354912009765332,-0.006177714789617816,-29.969520014047475
5,2,0.0027248213366111163,0.1381486126964535,0.1456264142558582,-0.09773621494174317,-674.5314062139989
5,3,-0.016042444389701815,-0.10116925035414082,-0.07928874482282311,-1.673450931577447e-05,-67.07397332382243
5,4,0.03736319890086892,0.115990421594512,0.09543399201479386,-0.02759131189784708,-213.83380486655187
5,5,-0.04669195079261512,-0.21480617193928597,-0.043762118407629114,-0.004267282606802342,-10.696310045719201
5,6,-0.039502284663867515,-0.10898069224326279,0.0679993223298141,-0.0006349416239652961,27.325180204391472
5,7,0.0740545900210674,0.1803261571376723,0.03348865918976851,-0.16580526564815853,-907.6959870591161
5,8,-0.03751156734865635,-0.15799621023123378,-0.028537482347963494,-0.0028472437042350307,-19.85593274378789
5,9,-0.043612618893093424,-0.09601316040946362,0.07483198340240793,0.031970058850173066,171.30801035022728
