comparisons,exact_match_fraction,feature,maximum_absolute_difference,mean_absolute_difference
1641,0.17062766605728213,rsi_centered,1.2534140348434448,0.08241593748748775
1641,0.17062766605728213,macd_to_price,0.02388807386159897,0.0019342789286370475
1641,0.17062766605728213,macd_gap_to_price,0.04154532868415117,0.001293740355176157
1641,0.8860450944546009,price_to_sma20,0.0559002049267292,0.002262918773535151
1641,0.48202315661182205,price_to_sma50,0.13548220694065094,0.013492613605418402
1641,0.48202315661182205,sma20_to_sma50,0.1253710873425007,0.011757057622884003
1641,0.8860450944546009,bollinger_position,2.003863573074341,0.1063736256675671
1641,0.8860450944546009,bollinger_width,0.11959299445152283,0.005052573139518772
1641,0.8409506398537477,return_1h,0.16017639124765992,0.0024725747703081566
1641,0.6404631322364412,return_3h,0.154458437114954,0.005965990803722546
1641,0.5703839122486288,relative_return_rank_1h,2.0,0.17221883792001108
1641,0.21937842778793418,cross_sectional_volatility_1h,0.0433336547575891,0.0028588436600694854
1641,0.5118829981718465,market_breadth_1h,0.8000000268220901,0.13476877516086766
