basis_points_per_traded_notional,break_even_basis_points,estimated_cost,estimated_final_equity,estimated_return_pct,gross_return_pct,traded_notional
0,,0.0,1012.9364,1.293640000000007,,3086.6736
10,,3.0866736,1009.8497264,0.9849726399999925,,3086.6736
25,,7.716684,1005.2197160000001,0.5219716000000041,,3086.6736
50,,15.433368,997.5030320000001,-0.24969679999998773,,3086.6736
100,,30.866736,982.0696640000001,-1.7930335999999936,,3086.6736
break_even,41.910489013156585,12.936400000000049,1000.0,0.0,1.293640000000007,3086.6736
