window,seed,mps_minus_ann_sharpe,mps_minus_ann_annual_return,mps_minus_ann_max_drawdown,mps_minus_ann_annualized_turnover,mps_minus_ann_total_cost
2017-2018,0,0.018965178345249245,0.0007247436497615223,-0.016017428396227495,0.11889233687991763,272.10473967647863
2017-2018,1,0.2787446382982896,0.0422073920489288,0.03533200822094881,0.07843449671151254,131.67685280585545
2017-2018,2,0.008746971148104077,0.009086568945006604,-0.025738199483856,-0.17507850680473236,-433.22936680102237
2017-2018,3,0.017656022693693874,0.002018760715152501,0.003171163564918006,-0.010968651547125563,-32.29697425174527
2017-2018,4,-0.11593513199385785,-0.04332335949730219,0.014052588412279687,0.1233925569033335,260.19044357728694
2017-2018,5,0.47434588785669507,0.13963587555154788,-0.0526543916939079,0.002002592642610379,-36.825935947891594
2017-2018,6,0.024034688205629262,0.006971256698638406,0.00114286862461771,0.01523281593356951,19.69546046543053
2017-2018,7,0.021855970680328185,0.004931982659202708,-0.009654294167065397,0.010827757646707403,12.591942486521702
2017-2018,8,0.12263868499256692,0.037365511820278904,0.01430928295918829,0.013225416648515842,25.2457356252678
2017-2018,9,0.0114018974532335,0.0257179182577911,-0.032233877283811385,0.05130178013119879,193.17336103248795
2019-2020,0,0.15447157975580583,0.03248856593747401,0.05674774015404599,-0.017791035486081075,-39.9783357186318
2019-2020,1,0.11269233746864316,0.06392209458639478,-0.00209507986686272,0.272843479927391,725.9404802350996
2019-2020,2,-0.04835490803050868,0.00034279644129231457,-0.010765997710403291,0.04585423888566942,108.92407348585232
2019-2020,3,0.046003013549152705,0.05695156807587659,-0.023595660988793815,-0.0809822296620537,-268.1782078375809
2019-2020,4,-0.022501882335092538,0.017495718392960102,0.030330255055987493,0.17473886888768297,366.67563150382875
2019-2020,5,0.42363005128025555,0.1288638704117184,-0.02789622591450311,0.10851678856031999,279.4602016918659
2019-2020,6,0.13070635411855225,0.030593077577322686,0.009437990054738221,-0.019435135442305906,-42.30030297040912
2019-2020,7,0.2479609309648766,0.07095233807562501,0.00806900558108381,-0.3922863014363649,-900.3697545440164
2019-2020,8,-0.21878958735831877,-0.0732840212259056,-0.007874315257032,-0.076174772426014,-184.74464366531106
2019-2020,9,0.09868815680692655,-0.020909257433815387,0.019815920553487715,0.020914277754126798,-25.624410561320246
2021-2022,0,0.2047069583823971,0.0522539890273042,0.15689169932245028,-0.21450688468255064,-393.22930703926136
2021-2022,1,-0.4092401361311471,-0.08263149251120061,-0.05481921426588063,9.693770611618469e-05,-87.45142271614077
2021-2022,2,-0.22895393114374346,-0.0505403157297946,0.038788772754155904,-0.02071172726238213,-34.18978032302732
2021-2022,3,-0.029742601115485545,0.003437473174850811,-0.084967492028586,-0.20953262524142957,-438.3010358200056
2021-2022,4,0.4299276570038412,0.0835042509565879,0.0470358165544984,-0.026285836185010347,-24.612054655074417
2021-2022,5,-0.1409608866212336,-0.0495498240999144,-0.052113078332934326,0.07866028222594568,173.08720205306804
2021-2022,6,0.5744577852931235,0.14054927249874288,0.11925810840769782,-0.1215220502638612,-235.03199276828946
2021-2022,7,0.48346205741871356,0.115548197972269,0.1612531314794861,0.06711181692070312,178.97755301666325
2021-2022,8,0.47810639155884793,0.1879391860848506,0.3558706040791242,0.2415159619870485,544.2732348966601
2021-2022,9,0.03485751451670177,0.004532343973748604,-0.011129787729925011,-0.05474480240251295,-105.56160348892217
