window,metric,ann,mps,mps_minus_ann
2017-2018,mse,1.017480870724938,1.006685629279959,-0.010795241444979009
2017-2018,mae,0.6415167816883508,0.6382088195322541,-0.0033079621560967443
2017-2018,directional_accuracy,0.5096473719228211,0.5108449767132401,0.0011976047904190823
2017-2018,information_coefficient,0.0017817747436677,0.0201906063900401,0.0184088316463724
2019-2020,mse,1.7701251724115228,1.7645545171243509,-0.005570655287171933
2019-2020,mae,0.8229555219484215,0.8216796759428765,-0.0012758460055449783
2019-2020,directional_accuracy,0.5106270627062707,0.5056105610561056,-0.005016501650165095
2019-2020,information_coefficient,-0.0040394751571259,0.0801769833999972,0.08421645855712309
2021-2022,mse,1.506479636047399,1.5252376452044387,0.018758009157039623
2021-2022,mae,0.8374600860045166,0.843495198855374,0.006035112850857449
2021-2022,directional_accuracy,0.5134526176275679,0.5096090125911199,-0.0038436050364479835
2021-2022,information_coefficient,0.0480122389323527,0.0213440721539795,-0.0266681667783732
