window,condition,n_seeds,sharpe_mean,sharpe_std,annual_return_mean,annual_return_std,max_drawdown_mean,max_drawdown_std,annualized_turnover_mean,annualized_turnover_std,total_cost_mean,total_cost_std
2017-2018,Base FinRL,10,0.652457738470061,0.2657840007071167,0.10728713045901825,0.07558059511392944,-0.2149845527289361,0.07633257323143397,0.5280069670938923,0.04473348222591181,1084.6017776638982,128.5089408582016
2017-2018,ANN signal,10,0.6274637144159894,0.2647065052613768,0.09360450842037224,0.050295740263448914,-0.23043598514191763,0.04844161394630475,0.55709582110415,0.08396529046730615,1179.1672454179761,212.44418328896066
2017-2018,QINN-MPS signal,10,0.7137091951839826,0.17520658053593105,0.11613817350527286,0.04595728288809824,-0.2372650130662092,0.06613386555620047,0.5798220806187008,0.10276640661822156,1220.3998712848431,273.4206214709318
2019-2020,Base FinRL,10,0.9851578253125484,0.22510128954960024,0.25407412417783115,0.07839036670795156,-0.24174859182593042,0.04307561595763454,0.6622675797371225,0.18097800186913027,1405.432028817749,423.43235992534267
2019-2020,ANN signal,10,0.8703265765716106,0.23840543428811484,0.2139052674997138,0.07082914253986597,-0.24750057279174226,0.035920934194898745,0.7541285215386865,0.22918407492516038,1598.706202558231,523.016857819128
2019-2020,QINN-MPS signal,10,0.9627771811936399,0.13884939200025895,0.24464694258360814,0.044554260069884326,-0.24228320962556743,0.03180212900602769,0.7577483394949237,0.21724501300136428,1600.6866757201688,470.6497599304578
2021-2022,Base FinRL,10,0.2582080604580075,0.36932082893378604,0.02070236890319464,0.10006711604655247,-0.33046337998597497,0.15496788252346866,0.617311132374444,0.11742495917541362,1253.5313499304773,255.35503934788264
2021-2022,ANN signal,10,0.037626712688394966,0.4350745436533718,-0.03481948086013098,0.10876977390333073,-0.36006456893431105,0.15359515767715504,0.6767527590891103,0.1889418655389006,1361.8825784173964,416.34650348423446
2021-2022,QINN-MPS signal,10,0.1772887936045965,0.2718162605947067,0.005684827274613463,0.07475465750449224,-0.2924577129103024,0.12317115075291105,0.650760866369317,0.19213366142670837,1319.6786577329635,397.26203122621956
