model,seed,validation_abstained,mse_pp2,mae_pp,directional_accuracy,rank_ic,total_return_pct,maximum_drawdown_pct,cumulative_turnover,modeled_cost_pct_initial,decision_count,active_decision_fraction,mean_net_return_bps
residual_mps,0,True,0.15990940054380692,0.28194762872270057,0.5765407554671969,0.18370537398861175,0.0,0.0,0.0,0.0,180,0.0,0.0
residual_mps,1,True,0.16043938014671777,0.28204242585431066,0.5745526838966203,0.17648343256811652,0.0,0.0,0.0,0.0,180,0.0,0.0
residual_mps,2,True,0.15979547758693863,0.2815391731190433,0.5719019218025182,0.18138443916227542,0.0,0.0,0.0,0.0,180,0.0,0.0
residual_mps,3,True,0.16062729849236326,0.2815521979006487,0.5719019218025182,0.17692123297944862,0.0,0.0,0.0,0.0,180,0.0,0.0
residual_mps,4,False,0.16121479054280602,0.2827785382295961,0.5712392312789927,0.15963743598101868,-6.4746760140919175,-6.781040101734693,106.0,10.600000000000009,180,0.35,-3.700713562830869
residual_mps,5,False,0.16109426833061596,0.28222211205874864,0.5619615639496355,0.17101783697659456,2.169411487793882,-1.202646909920635,62.333333333333336,6.233333333333337,180,0.23333333333333334,1.2069735733309277
residual_mps,6,False,0.15988568502761863,0.2821627858251114,0.5712392312789927,0.17185462069049331,-1.57515353412927,-3.4576430793622714,76.66666666666666,7.666666666666671,180,0.25555555555555554,-0.8644636785956444
residual_mps,7,False,0.15786583393843276,0.2800733810239102,0.5798542080848244,0.22455081376061092,-3.7489246976186053,-4.526707495095872,91.0,9.100000000000007,180,0.3055555555555556,-2.1130294246400743
residual_mps,8,False,0.16011865957947802,0.2817403893067192,0.5705765407554672,0.18117268947664517,-1.3583906574788474,-2.3230315126751,65.66666666666667,6.566666666666671,180,0.2111111111111111,-0.7491208808324127
residual_mps,9,True,0.16018874392677596,0.2812411825836475,0.5765407554671969,0.18323367714384026,0.0,0.0,0.0,0.0,180,0.0,0.0
matched_ann,0,False,0.1577172856465615,0.280256459533757,0.5818422796554009,0.22023119071856562,-2.8672477062784862,-4.8274721292105305,121.33333333333331,12.133333333333344,180,0.38333333333333336,-1.5989305212386649
matched_ann,1,False,0.15745773109778285,0.2794085723101804,0.5825049701789264,0.22991474449803714,-2.852422727339987,-4.053606488385975,108.0,10.800000000000006,180,0.3611111111111111,-1.5929112654282813
matched_ann,2,True,0.16082005744761693,0.28164461604335905,0.562624254473161,0.16678463831517193,0.0,0.0,0.0,0.0,180,0.0,0.0
matched_ann,3,False,0.15714339864237023,0.2802434749376789,0.5917826375082836,0.2368866918642029,1.8591696840480898,-1.8963107196790618,124.33333333333331,12.433333333333344,180,0.43333333333333335,1.04821383723282
matched_ann,4,False,0.15941014440653944,0.28099683971599465,0.5765407554671969,0.19853953727701423,-3.21851447360757,-3.7785262444994916,86.0,8.600000000000005,180,0.2722222222222222,-1.8056924137010895
matched_ann,5,True,0.15937616992932596,0.2819447735885614,0.5652750165672631,0.1887109685065953,0.0,0.0,0.0,0.0,180,0.0,0.0
matched_ann,6,False,0.16172409625165649,0.2821574445498921,0.5659377070907886,0.17462305060148012,-3.136038349373038,-5.092531917345278,115.0,11.500000000000009,180,0.38333333333333336,-1.7455322842148164
matched_ann,7,False,0.16009098917987521,0.28121612649078653,0.5864811133200796,0.2230044505046241,-1.6976266253809214,-3.8492276017129345,116.66666666666667,11.666666666666675,180,0.3888888888888889,-0.9152720510933758
matched_ann,8,False,0.1576677657260628,0.28030911203218023,0.5818422796554009,0.2270675313970691,-2.1448761585777576,-3.584257633957988,142.33333333333334,14.233333333333341,180,0.4666666666666667,-1.1725194467300626
matched_ann,9,True,0.15847054195348872,0.2802752969126857,0.5685884691848907,0.21208283874842188,0.0,0.0,0.0,0.0,180,0.0,0.0
